Name,Description,Price,URL,Cores,Threads,Frequency (GHz),Cache (MB),Socket
AMD Ryzen 3 3200G Wraith Stealth Edition (3.6 GHz / 4 GHz),Processeur Quad-Core 4-Threads socket AM4 Cache L3 4 Mo Radeon Vega Graphics 8 12 nm TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans),64€95,https://www.ldlc.com/fiche/PB00273788.html,,4,3.6,4,AM4
AMD Ryzen 3 4100 Wraith Stealth (3.8 GHz / 4.0 GHz),Processeur 4-Core 8-Threads socket AM4 Cache 6 Mo 7 nm TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans),59€95,https://www.ldlc.com/fiche/PB00497776.html,4,8,3.8,6,AM4
AMD Ryzen 5 1600 AF (3.2 GHz / 3.6 Ghz),Processeur Hexa-Core 12-Threads socket AM4 Cache L3 16 Mo 0.012 micron TDP 65W (version bulk sans ventilateur - garantie constructeur 3 ans),185€95,https://www.ldlc.com/fiche/PB00480285.html,,12,3.2,16,AM4
AMD Ryzen 5 3400G Wraith Spire Edition (3.7 GHz / 4.2 GHz),Processeur Quad-Core 8-Threads socket AM4 Cache L3 4 Mo Radeon Vega Graphics 11 12 nm TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans),69€95,https://www.ldlc.com/fiche/PB00273787.html,,8,3.7,4,AM4
AMD Ryzen 5 3600 Wraith Stealth (3.6 GHz / 4.2 GHz) Boîte,Processeur 6-Core 12-Threads socket AM4 GameCache 35 Mo 7 nm TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans),58€95,https://www.ldlc.com/fiche/PB00273575.html,6,12,3.6,35,AM4
AMD Ryzen 5 4500 Wraith Stealth  (3.6 GHz / 4.1 GHz),Processeur 6-Core 12-Threads socket AM4 Cache 11 Mo 7 nm TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans),79€95,https://www.ldlc.com/fiche/PB00497548.html,6,12,3.6,11,AM4
AMD Ryzen 5 5500 (3.6 GHz / 4.2 GHz),Processeur 6-Core 12-Threads socket AM4 GameCache 19 Mo 7 nm TDP 65W (version tray sans ventilateur - garantie constructeur 3 ans),84€95,https://www.ldlc.com/fiche/PB00656404.html,6,12,3.6,19,AM4
AMD Ryzen 5 5500 Wraith Stealth (3.6 GHz / 4.2 GHz),Processeur 6-Core 12-Threads socket AM4 GameCache 19 Mo 7 nm TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans),94€95,https://www.ldlc.com/fiche/PB00493654.html,6,12,3.6,19,AM4
AMD Ryzen 5 5600 (3.5 GHz / 4.4 GHz),Processeur 6-Core 12-Threads socket AM4 GameCache 35 Mo 7 nm TDP 65W (version tray sans ventilateur - garantie constructeur 3 ans),119€95,https://www.ldlc.com/fiche/PB00696914.html,6,12,3.5,35,AM4
AMD Ryzen 5 5600GT Wraith Stealth (3.6 GHz / 4.6 GHz),Processeur 6-Core 12-Threads socket AM4 Cache L3 16 Mo Radeon Vega Graphics 7 7 nm TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans),144€95,https://www.ldlc.com/fiche/PB00588200.html,6,12,3.6,16,AM4
AMD Ryzen 5 5600T Wraith Stealth (3.7 GHz / 4.5 GHz),Processeur 6-Core 12-Threads socket AM4 GameCache 35 Mo 7 nm TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans),162€95,https://www.ldlc.com/fiche/PB00650395.html,6,5600,3.7,35,AM4
AMD Ryzen 5 5600XT Wraith Stealth (3.7 GHz / 4.7 GHz),Processeur 6-Core 12-Threads socket AM4 GameCache 35 Mo 7 nm TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans),174€95,https://www.ldlc.com/fiche/PB00650396.html,6,12,3.7,35,AM4
