Name,Description,Price,URL,Memory (GB),Memory Type,Chipset,Bus Interface,Ports,Cooling
ASUS Dual GeForce RTX 5050 8GB,8 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5050),279€95,https://www.ldlc.com/fiche/PB00692472.html,8,GDDR6,RTX5050,PCIEXPRESS,"HDMI, DisplayPort",
ASUS Dual GeForce RTX 5050 OC Edition 8GB,8 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5050),349€95,https://www.ldlc.com/fiche/PB00692473.html,8,GDDR6,RTX5050,PCIEXPRESS,"HDMI, DisplayPort",
ASUS Dual GeForce RTX 5060 OC Edition 8GB,8 Go GDDR7 - HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5060),319€95,https://www.ldlc.com/fiche/PB00681083.html,8,GDDR7,RTX5060,PCIEXPRESS,"HDMI, DisplayPort",
ASUS Dual GeForce RTX 5060 OC Edition 8GB White,8 Go GDDR7 - HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5060),379€95,https://www.ldlc.com/fiche/PB00702738.html,8,GDDR7,RTX5060,PCIEXPRESS,"HDMI, DisplayPort",
ASUS Dual GeForce RTX 5060 Ti OC Edition 16GB,16 Go GDDR7 - HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5060 Ti)  (EXCLUSIVITE WEB),489€95,https://www.ldlc.com/fiche/PB00676833.html,16,GDDR7,RTX5060,PCIEXPRESS,"HDMI, DisplayPort",
ASUS Dual GeForce RTX 5060 Ti OC Edition 16GB White,16 Go GDDR7 - HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5060 Ti),549€95,https://www.ldlc.com/fiche/PB00702739.html,16,GDDR7,RTX5060,PCIEXPRESS,"HDMI, DisplayPort",
ASUS Dual GeForce RTX 5060 Ti OC Edition 8GB,8 Go GDDR7 - HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5060 Ti),399€95,https://www.ldlc.com/fiche/PB00676829.html,8,GDDR7,RTX5060,PCIEXPRESS,"HDMI, DisplayPort",
ASUS Dual GeForce RTX 5070 12GB GDDR7 OC Edition,12 Go GDDR7 - HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5070),619€95,https://www.ldlc.com/fiche/PB00689546.html,12,GDDR7,RTX5070,PCIEXPRESS,"HDMI, DisplayPort",
ASUS GeForce ROG Astral GeForce RTX 5090 32GB GDDR7 OC Edition,32 Go GDDR7 - Dual HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5090),3 199€95,https://www.ldlc.com/fiche/PB00662466.html,32,GDDR7,RTX5090,PCIEXPRESS,"HDMI, DisplayPort",
ASUS GeForce RTX 5060 LP BRK 8GB GDDR7 OC Edition,8 Go GDDR7 - Dual HDMI/DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5060),399€95,https://www.ldlc.com/fiche/PB00702779.html,8,GDDR7,RTX5060,PCIEXPRESS,"HDMI, DisplayPort",
ASUS PRIME GeForce RTX 5060 OC Edition 8GB,8 Go GDDR7 - HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5060),369€95,https://www.ldlc.com/fiche/PB00681084.html,8,GDDR7,RTX5060,PCIEXPRESS,"HDMI, DisplayPort",
ASUS PRIME GeForce RTX 5060 Ti OC Edition 16GB,16 Go GDDR7 - HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5060 Ti),569€95,https://www.ldlc.com/fiche/PB00676842.html,16,GDDR7,RTX5060,PCIEXPRESS,"HDMI, DisplayPort",
ASUS PRIME GeForce RTX 5060 Ti OC Edition 8GB,8 Go GDDR7 - HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5060 Ti),509€95,https://www.ldlc.com/fiche/PB00676834.html,8,GDDR7,RTX5060,PCIEXPRESS,"HDMI, DisplayPort",
ASUS PRIME GeForce RTX 5070 12GB GDDR7 OC Edition,12 Go GDDR7 - HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5070),629€95,https://www.ldlc.com/fiche/PB00669231.html,12,GDDR7,RTX5070,PCIEXPRESS,"HDMI, DisplayPort",
ASUS PRIME GeForce RTX 5070 12GB GDDR7 OC Edition White,12 Go GDDR7 - HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5070),749€95,https://www.ldlc.com/fiche/PB00702741.html,12,GDDR7,RTX5070,PCIEXPRESS,"HDMI, DisplayPort",
ASUS PRIME GeForce RTX 5080 16GB GDDR7 OC Edition,16 Go GDDR7 - HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5080),1 129€95,https://www.ldlc.com/fiche/PB00660813.html,16,GDDR7,RTX5080,PCIEXPRESS,"HDMI, DisplayPort",
ASUS ROG Astral GeForce RTX 5080 16GB GDDR7 OC Edition,16 Go GDDR7 - Dual HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5080),1 749€95,https://www.ldlc.com/fiche/PB00660810.html,16,GDDR7,RTX5080,PCIEXPRESS,"HDMI, DisplayPort",
ASUS ROG Astral GeForce RTX 5080 16GB GDDR7 OC Edition White,16 Go GDDR7 - Dual HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5080),1 899€95,https://www.ldlc.com/fiche/PB00702742.html,16,GDDR7,RTX5080,PCIEXPRESS,"HDMI, DisplayPort",
ASUS ROG Strix GeForce RTX 5070 12GB GDDR7 OC Edition,12 Go GDDR7 - Dual HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5070),849€95,https://www.ldlc.com/fiche/PB00684895.html,12,GDDR7,RTX5070,PCIEXPRESS,"HDMI, DisplayPort",
ASUS ROG Strix GeForce RTX 5070 Ti 16GB GDDR7,16 Go GDDR7 - Dual HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5070 Ti),1 199€95,https://www.ldlc.com/fiche/PB00696899.html,16,GDDR7,RTX5070,PCIEXPRESS,"HDMI, DisplayPort",
ASUS ROG Strix GeForce RTX 5070 Ti 16GB GDDR7 OC Edition,16 Go GDDR7 - Dual HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5070 Ti),1 249€95,https://www.ldlc.com/fiche/PB00675833.html,16,GDDR7,RTX5070,PCIEXPRESS,"HDMI, DisplayPort",
