Name,Description,Price,URL,Socket,Chipset,RAM Type,Form Factor,M.2 Slots,PCIe,USB
ASRock A520M-HDV,Carte mère Micro ATX Socket AM4 AMD A520 - 2x DDR4 - M.2 PCIe NVMe - USB 3.0 - 1x PCI-Express 3.0 16x,66€95,https://www.ldlc.com/fiche/PB00357333.html,AM4,A520,DDR4,MicroATX,4,PCIExpress3.0,USB3.0
ASRock A520M-HVS,Carte mère Micro ATX Socket AM4 AMD A520 - 2x DDR4 - M.2 PCIe NVMe - USB 3.0 - 1x PCI-Express 3.0 16x,64€95,https://www.ldlc.com/fiche/PB00357332.html,AM4,A520,DDR4,MicroATX,4,PCIExpress3.0,USB3.0
ASRock A620AM PRO RS WIFI,Carte mère Micro ATX Socket AM5 AMD A620A - 4x DDR5 - M.2 PCIe 4.0 - USB 3.0 - PCI-Express 4.0 16x - Wi-Fi 6E/Bluetooth 5.2,129€95,https://www.ldlc.com/fiche/PB00697308.html,AM5,,DDR5,MicroATX,5,PCIExpress4.0,USB3.0
ASRock A620AM PRO-A,Carte mère Micro ATX Socket AM5 AMD A620A - 4x DDR5 - M.2 PCIe 4.0 - USB 3.0 - PCI-Express 4.0 16x,109€95,https://www.ldlc.com/fiche/PB00697312.html,AM5,,DDR5,MicroATX,5,PCIExpress4.0,USB3.0
ASRock A620AM-HVS,Carte mère Micro ATX Socket AM5 AMD A620A - 2x DDR5 - M.2 PCIe 4.0 - USB 3.0 - PCI-Express 4.0 16x,81€95,https://www.ldlc.com/fiche/PB00705582.html,AM5,,DDR5,MicroATX,5,PCIExpress4.0,USB3.0
ASRock A620AM-X,Carte mère Micro ATX Socket AM5 AMD A620A - 2x DDR5 - M.2 PCIe 4.0 - USB 3.0 - PCI-Express 4.0 16x,99€95,https://www.ldlc.com/fiche/PB00703400.html,AM5,,DDR5,MicroATX,5,PCIExpress4.0,USB3.0
ASRock B450M Pro4 R2.0,Carte mère micro-ATX Socket AM4 AMD B450 - 4x DDR4 - M.2 PCIe 3.0 - USB 3.1 - PCI-Express 3.0 16x,82€95,https://www.ldlc.com/fiche/PB00462746.html,AM4,B450,DDR4,microATX,4,PCIExpress3.0,USB3.1
ASRock B650 Pro RS,Carte mère ATX Socket AM5 AMD B650 - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 4.0 16x - LAN 2.5 GbE,199€95,https://www.ldlc.com/fiche/PB00520807.html,AM5,B650,DDR5,ATX,5,PCIExpress4.0,USB3.2
ASRock B650I Lightning WiFi,Carte mère Mini ITX Socket AM5 AMD B650 - 2x DDR5 - M.2 PCIe 5.0 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.2,189€95,https://www.ldlc.com/fiche/PB00581717.html,AM5,B650,DDR5,MiniITX,5,PCIExpress4.0,USB3.1
ASRock B650M PG Lightning,Carte mère micro ATX Socket AM5 AMD B650 - 4x DDR5 - M.2 PCIe 5.0 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE,139€95,https://www.ldlc.com/fiche/PB00592895.html,AM5,B650,DDR5,microATX,5,PCIExpress4.0,USB3.1
