Name,Description,Price,URL,Capacity (GB),Modules,Type,Frequency (MHz),CAS Latency,RGB
Fox Spirit Akura RGB 16 Go (2x 8 Go) DDR4 3200 MHz CL16,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - FXU8G1M3200C16X2,84€95,https://www.ldlc.com/fiche/PB00458456.html,16,2,DDR4,3200,16,Yes
Fox Spirit Akura RGB 32 Go (2x 16 Go) DDR4 3200 MHz CL16,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - FXU16G2M3200C16X2,154€95,https://www.ldlc.com/fiche/PB00458458.html,32,2,DDR4,3200,16,Yes
Textorm 16 Go (2x 8 Go) DDR4 2666 MHz CL19,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-21300 - 2XTXU8G1M2666C1,71€95,https://www.ldlc.com/fiche/PB00392933.html,16,2,DDR4,2666,19,No
Textorm 16 Go (2x 8 Go) DDR4 3200 MHz CL16,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - 2XTXU8G1M3200C,64€95,https://www.ldlc.com/fiche/PB00392932.html,16,2,DDR4,3200,16,No
Textorm 16 Go DDR4 2666 MHz CL19,RAM DDR4 PC4-21300 - TXU16G2M2666C19,69€95,https://www.ldlc.com/fiche/PB00392692.html,16,1,DDR4,2666,19,No
Textorm 16 Go DDR4 3200 MHz CL16,RAM DDR4 PC4-25600 - TXU16G2M3200C16X,64€95,https://www.ldlc.com/fiche/PB00392685.html,16,1,DDR4,3200,16,No
Textorm 32 Go (2x 16 Go) DDR4 2666 MHz CL19,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-21300 - 2XTXU16G2M266,129€95,https://www.ldlc.com/fiche/PB00392939.html,32,2,DDR4,2666,19,No
Textorm 32 Go (2x 16 Go) DDR4 3200 MHz CL16,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - 2XTXU16G2M320,119€95,https://www.ldlc.com/fiche/PB00392938.html,32,2,DDR4,3200,16,No
Textorm 32 Go (2x 16 Go) DDR5 6000 MHz CL36,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-48000 - TXU16G1S60C36K2,149€95,https://www.ldlc.com/fiche/PB00631749.html,32,2,DDR5,6000,36,No
Textorm 32 Go (2x 16 Go) DDR5 6400 MHz CL32,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-51200 - TXU16G2H64C32K2,194€95,https://www.ldlc.com/fiche/PB00657047.html,32,2,DDR5,6400,32,No
Textorm 32 Go (4x 8 Go) DDR4 2666 MHz CL19,Kit Quad Channel 4 barrettes deRAM DDR4 PC4-21300 - 4XTXU8G1M2666C1,134€95,https://www.ldlc.com/fiche/PB00392934.html,32,4,DDR4,2666,19,No
Textorm 32 Go (4x 8 Go) DDR4 3200 MHz CL16,Kit Quad Channel 4 barrettes de RAM DDR4 PC4-25600 - 4XTXU8G1M3200C,122€95,https://www.ldlc.com/fiche/PB00392935.html,32,4,DDR4,3200,16,No
Textorm 32 Go DDR4 3200 MHz CL16,RAM DDR4 PC4-25600 - TXU32G2M3200C16X,119€95,https://www.ldlc.com/fiche/PB00476012.html,32,1,DDR4,3200,16,No
Textorm 64 Go (2x 32 Go) DDR4 3200 MHz CL16,RAM DDR4 PC4-25600 - TXU32G2M3200C16X,119€95,https://www.ldlc.com/fiche/PB00630477.html,64,2,DDR4,3200,16,No
