Name,Brand,GPU Model,Chipset Brand,Memory Size (GB),Memory Type,PCIe Version,Price,Shipping,Link
ASUS PRIME GeForce RTX 5070 Ti 16GB 256-Bit GDDR7 PCI Express 5.0 DLSS 4.0 Graphics Card PRIME-RTX5070TI-16G,ASUS,RTX 5070 TI,NVIDIA,16,GDDR7,5.0,$749.99,"$12.99 shipping
from United States",https://www.newegg.com/asus-prime-rtx5070ti-16g-geforce-rtx-5070-ti-16gb-graphics-card-triple-fans/p/N82E16814126757
SAPPHIRE PULSE Radeon RX 9060 XT 16GB GDDR6 PCI Express 5.0 x16 ATX Graphics Card 11350-03-20G,Sapphire Tech,RX 9060 XT,AMD,16,GDDR6,5.0,$379.99,"FREE SHIPPING
from United States",https://www.newegg.com/sapphire-tech-pulse-11350-03-20g-radeon-rx-9060-xt-16gb-graphics-card-double-fans/p/N82E16814202457
ASRock Steel Legend Radeon RX 9070 XT 16GB GDDR6 PCI Express 5.0 x16 Graphics Card RX9070XT SL 16G,ASRock,RX 9070 XT,AMD,16,GDDR6,5.0,$669.99,"FREE SHIPPING
from United States",https://www.newegg.com/asrock-steel-legend-rx9070xt-sl-16g-radeon-rx-9070-xt-16gb-graphics-card-triple-fans/p/N82E16814930136
ASUS PRIME GeForce RTX 5070 12GB 192-Bit GDDR7 PCI Express 5.0 Graphics Card PRIME-RTX5070-12G,ASUS,RTX 5070 ,NVIDIA,12,GDDR7,5.0,$549.99,"FREE SHIPPING
from United States",https://www.newegg.com/asus-prime-rtx5070-12g-geforce-rtx-5070-12gb-graphics-card-triple-fans/p/N82E16814126761
MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Graphics Card RTX 3060 Ventus 2X 12G OC,MSI,RTX 3060 ,NVIDIA,12,GDDR6,4.0,$279.99,"FREE SHIPPING
from United States",https://www.newegg.com/msi-rtx-3060-ventus-2x-12g-oc-geforce-rtx-3060-12gb-graphics-card-double-fans/p/N82E16814137632
GIGABYTE Gaming Radeon RX 9060 XT 16GB GDDR6 PCI Express 5.0 x16 ATX Graphics Card GV-R9060XTGAMING OC-16GD RX 9060XT,GIGABYTE,RX 9060 XT,AMD,16,GDDR6,5.0,$389.99,"FREE SHIPPING
from United States",https://www.newegg.com/gigabyte-gv-r9060xtgaming-oc-16gd-radeon-rx-9060-xt-16gb-graphics-card-triple-fans/p/N82E16814932806
SAPPHIRE NITRO+ Radeon RX 9070 XT 16GB GDDR6 PCI Express 5.0 x16 ATX Graphics Card 11348-01-20G,Sapphire Tech,RX 9070 XT,AMD,16,GDDR6,5.0,$749.99,"FREE SHIPPING
from United States",https://www.newegg.com/sapphire-tech-nitro-11348-01-20g-radeon-rx-9070-xt-16gb-graphics-card-triple-fans/p/N82E16814202448
XFX SWIFT Radeon RX 9060 XT 16GB 128-Bit GDDR6 PCI Express 5.0 x16 Graphics Card RX-96TS316B7,XFX,RX 9060 XT,AMD,16,GDDR6,5.0,$379.99,"FREE SHIPPING
from United States",https://www.newegg.com/xfx-swift-rx-96tsw16bq-radeon-rx-9060-xt-16gb-graphics-card-double-fans/p/N82E16814150914
SAPPHIRE PULSE Radeon RX 9070 XT 16GB GDDR6 PCI Express 5.0 x16 ATX Graphics Card 11348-03-20G,Sapphire Tech,RX 9070 XT,AMD,16,GDDR6,5.0,$699.99,"FREE SHIPPING
from United States",https://www.newegg.com/sapphire-tech-pulse-11348-03-20g-radeon-rx-9070-xt-16gb-graphics-card-triple-fans/p/N82E16814202450
ASRock Challenger Radeon RX 9060 XT 16GB GDDR6 PCI Express 5.0 x16 Graphics Card RX9060XT CL 16GO RX 9060XT,ASRock,RX 9060 XT,AMD,16,GDDR6,5.0,$369.99,"FREE SHIPPING
from United States",https://www.newegg.com/asrock-challenger-rx9060xt-cl-16go-radeon-rx-9060-xt-16gb-graphics-card-double-fans/p/N82E16814930140
