Name,Brand,Price,URL,Rating Count,Shipping,Socket,Chipset,Form Factor,Memory Type,M.2 Slots,PCIe Version,WiFi,LAN Speed
MSI MAG X870 TOMAHAWK WIFI AM5 AMD X870 ATX Motherboard,MSI,$309..99,https://www.newegg.com/msi-mag-x870-tomahawk-wifi-atx-motherboard-amd-x870-am5/p/N82E16813144667,522,Free Shipping,AM5,X870,ATX,,,,WIFI A,
"GIGABYTE B650M GAMING PLUS WIFI AM5 LGA 1718 AMD B650 M-ATX, DDR5, PCIe 4.0 M.2, PCIe 4.0, USB 3.2 Gen 1 Type-C, Wi-Fi 6E, 2.5GbE LAN",GIGABYTE,$129..99,https://www.newegg.com/gigabyte-b650m-gaming-plus-wifi-micro-atx-motherboard-amd-b650-am5/p/N82E16813145502,838,Free Shipping,AM5,B650,ATX,DDR5,0,4.0,WIFI A,2.5Gb
GIGABYTE B550M GAMING X WIFI6 AM4 AMD B550 Micro ATX Motherboard,GIGABYTE,$104..99,https://www.newegg.com/gigabyte-b550m-gaming-x-wifi6-micro-atx-motherboard-amd-b550-am4/p/N82E16813145586,13,Free Shipping,AM4,B550,ATX,,,,WIFI6,
"ASUS B850 MAX GAMING WIFI W - AMD AM5 ATX Motherboard, White PCB, DDR5, PCIe 5.0 Ready, 3x M.2, Wi-Fi 6E, 2.5Gb LAN, USB 10Gbps Type-C, DisplayPort, HDMI, BIOS FlashBack, Aura Sync, ASUS AI Advisor",ASUS,$169..99,https://www.newegg.com/asus-b850-max-gaming-wifi-w-atx-motherboard-amd-b850-am5/p/N82E16813119742,4,Free Shipping,AM5,B850,ATX,DDR5,3,5.0,WIFI W,2.5Gb
ASRock B650M Pro RS WiFi AM5 AMD B650 Micro ATX Motherboard,ASRock,$129..99,https://www.newegg.com/asrock-b650m-pro-rs-wifi-micro-atx-motherboard-amd-b650-am5/p/N82E16813162131,250,Free Shipping,AM5,B650,ATX,,,,WIFI A,
MSI B650 GAMING PLUS WIFI AM5 AMD B650 ATX Motherboard,MSI,$199..99,https://www.newegg.com/msi-b650-gaming-plus-wifi-atx-motherboard-amd-b650-am5/p/N82E16813144628,720,Free Shipping,AM5,B650,ATX,,,,WIFI A,
"ASUS B650E MAX GAMING WIFI W - AMD B650 AM5 ATX Motherboard, White PCB, DDR5, PCIe 5.0, 3x M.2, Wi-Fi 6E, 2.5Gb LAN, USB 10Gbps Type-C, DisplayPort, HDMI, BIOS FlashBack, Aura Sync, Advanced AI PC",ASUS,$169..99,https://www.newegg.com/asus-b650e-max-gaming-wifi-w-atx-motherboard-amd-b650-am5/p/N82E16813119736,34,Free Shipping,AM5,B650,ATX,DDR5,3,5.0,WIFI W,2.5Gb
ASUS ROG STRIX X870E-E GAMING WIFI,ASUS,$453..99,https://www.newegg.com/asus-rog-strix-x870e-e-gaming-wifi-atx-motherboard-amd-x870e-am5/p/N82E16813119682,50,Free Shipping,,X870,,,,,WIFI A,
"ASUS TUF GAMING B850M-E WIFI AMD B850 mATX motherboard, 8+2+1 80A DrMOS power stages, DDR5, PCIe 5.0, 3 M.2 slots, WiFi 6E, 2.5Gb Ethernet, DisplayPort, HDMI, rear USB-C 10Gbps and front USB-C 5Gbps",ASUS,$219..99,https://www.newegg.com/asus-tuf-gaming-b850m-e-wifi-micro-atx-motherboard-amd-b850-am5/p/N82E16813119758,5,Free Shipping,,B850,ATX,DDR5,3,5.0,WIFI A,
"ASUS ROG STRIX X870E-H GAMING WIFI7 with 16+2+1 power stages, DDR5, WiFi 7, four M.2 slots, PCIe 5.0, dual USB4 ports and USB 10Gbps Type-C",ASUS,$399..99,https://www.newegg.com/asus-rog-strix-x870e-h-gaming-wifi7-atx-motherboard-amd-x870e-am5/p/N82E16813119755,5,Free Shipping,,X870,,DDR5,,5.0,WIFI7,
ASUS B760M-AYW WIFI D4 II LGA 1700 Intel B760 Micro ATX Motherboard,ASUS,$228..00,https://www.newegg.com/asus-b760m-ayw-wifi-d4-ii-micro-atx-motherboard-intel-b760-lga-1700/p/N82E16813119744,12,Free Shipping,LGA1700,B760,ATX,,,,WIFI D,
MSI MAG B850 TOMAHAWK MAX WIFI AM5 AMD B850 SATA 6Gb/s 5G Network Wi-Fi7 DDR5 Motherboard,MSI,$209..99,https://www.newegg.com/msi-mag-b850-tomahawk-max-wifi-atx-motherboard-amd-b850-am5/p/N82E16813144697,80,Free Shipping,AM5,B850,,DDR5,,,WIFI A,
MSI MPG X870E CARBON WIFI AM5 AMD X870E ATX Motherboard,MSI,$484..99,https://www.newegg.com/msi-mpg-x870e-carbon-wifi-atx-motherboard-amd-x870e-am5/p/N82E16813144666,253,Free Shipping,AM5,X870,ATX,,,,WIFI A,
"ASUS ROG Strix B650E-I Gaming WiFi AMD B650 AM5 Ryzen™ Desktop 9000 8000 & 7000 mini-ITX mITX motherboard, 10+2  power stages, DDR5, 2x M.2 slot, PCIe® 5.0, 2.5G LAN, WiFi 6E, USB 3.2 Gen 2x2 Type-C",ASUS,$229..99,https://www.newegg.com/asus-rog-strix-b650e-i-gaming-wifi-mini-itx-motherboard-amd-b650e-am5/p/N82E16813119612,44,Free Shipping,AM5,B650,MINI ITX,DDR5,2,,WIFI A,
"GIGABYTE X870 AORUS ELITE WIFI7 AM5 LGA 1718, ATX, DDR5, 4x M.2, PCIe 5.0, USB4, Wi-Fi 7, 2.5GbE LAN, EZ-Latch, 5-Year Warranty",GIGABYTE,$269..99,https://www.newegg.com/gigabyte-x870-aorus-elite-wifi7-atx-motherboard-amd-x870-am5/p/N82E16813145519,513,Free Shipping,AM5,X870,ATX,DDR5,4,5.0,WIFI7,2.5Gb
"ASUS Z790 GAMING WIFI7 LGA 1700 ATX motherboard with PCIe 5.0, three M.2 slots, 14+1 DrMOS, DDR5, WIFI 7, Realtek 1Gb LAN, HDMI TM, USB 3.2 Gen 2x2 Type-C, front USB 3.2 Gen 1 Type-C, Thunderbolt USB4",ASUS,$179..99,https://www.newegg.com/asus-z790-gaming-wifi7-atx-motherboards-intel-intel-z790-lga-1700/p/N82E16813119679,35,Free Shipping,LGA1700,Z790,ATX,DDR5,,5.0,WIFI7,1Gb
"GIGABYTE B650E AORUS ELITE X AX ICE AM5 LGA 1718 AMD B650 ATX Motherboard with 5-Year Warranty, DDR5, 3x M.2, PCIe 5.0, USB 3.2 Gen2X2 Type-C, WiFi 6E, 2.5GbE LAN, Q-Flash Plus, EZ-Latch Plus",GIGABYTE,$219..99,https://www.newegg.com/gigabyte-b650e-a-elite-x-ice-atx-motherboards-amd-b650-am5/p/N82E16813145500,838,Free Shipping,AM5,B650,ATX,DDR5,3,5.0,WIFI 6E,2.5Gb
ASRock B450M/AC R2.0 AM4 AMD Promontory B450 Micro ATX AMD Motherboard,ASRock,$89..99,https://www.newegg.com/asrock-b450m-ac-r2-0-micro-atx-amd-motherboard-amd-promontory-b450-am4/p/N82E16813157974,111,Free Shipping,AM4,B450,ATX,,,,,
MSI MPG MPG X870E EDGE TI WIFI AM5 AMD X870E SATA 6Gb/s  5G LAN DDR5 M.2 Wi-Fi 7 ATX Motherboards,MSI,$323..99,https://www.newegg.com/msi-mpg-x870e-edge-ti-wifi-atx-motherboards-amd-amd-x870e-am5/p/N82E16813144698,85,Free Shipping,AM5,X870,ATX,DDR5,5,,WIFI A,
"ASUS TUF GAMING B850-PLUS WIFI AMD AM5 B850 ATX motherboard, 14+2+1 80A stages, AI Ready, DDR5, PCIe 5.0 , 3x M.2, Wi-Fi 7, 2.5Gb LAN, DisplayPort, HDMI, USB 10Gbps & 20Gbps Type-C, BIOS FlashBack",ASUS,$219..99,https://www.newegg.com/asus-tuf-gaming-b850-plus-wifi-atx-motherboard-amd-b850-am5/p/N82E16813119705,36,Free Shipping,AM5,B850,ATX,DDR5,3,5.0,WIFI A,2.5Gb
ASRock B850I Lightning WiFi AM5 AMD B850 Mini ITX Motherboard,ASRock,$209..99,https://www.newegg.com/asrock-b850i-lightning-wifi-mini-itx-motherboard-amd-b850-am5/p/N82E16813162201,55,Free Shipping,AM5,B850,MINI ITX,,,,WIFI A,
"ASUS ROG STRIX X870-A GAMING WIFI AMD AM5 X870 ATX motherboard 16+2+2 power stages, Dynamic OC Switcher, Core Flex, DDR5 AEMP, WiFi 7, 4x M.2, PCIe 5.0, Q-Release Slim, USB4, AI OCing & Networking",ASUS,$329..99,https://www.newegg.com/asus-rog-strix-x870-a-gaming-wifi-atx-motherboard-amd-x870-am5/p/N82E16813119684,58,Free Shipping,AM5,X870,ATX,DDR5,4,5.0,WIFI A,
"GIGABYTE X870E AORUS PRO ICE AM5 LGA 1718, ATX, DDR5, 4x M.2, PCIe 5.0, USB4, Wi-Fi 7, 2.5GbE LAN, EZ-Latch, 5-Year Warranty",GIGABYTE,$299..99,https://www.newegg.com/gigabyte-x870e-aorus-pro-ice-atx-motherboard-amd-x870e-am5/p/N82E16813145515,295,Free Shipping,AM5,X870,ATX,DDR5,4,5.0,,2.5Gb
MSI MPG B550 GAMING PLUS AM4 AMD B550 USB 3.0 ATX AMD Motherboard,MSI,$99..99,https://www.newegg.com/msi-mpg-b550-gaming-plus-atx-amd-motherboard-amd-b550-am4/p/N82E16813144325,"2,021",Free Shipping,AM4,B550,ATX,,,,,
"GIGABYTE X870E AORUS ELITE WIFI7 AM5 LGA 1718, ATX, DDR5, 4x M.2, PCIe 5.0, USB4, Wi-Fi 7, 2.5GbE LAN, EZ-Latch, 5-Year Warranty",GIGABYTE,$289..99,https://www.newegg.com/gigabyte-x870e-aorus-elite-wifi7-atx-motherboard-amd-x870e-am5/p/N82E16813145517,513,Free Shipping,AM5,X870,ATX,DDR5,4,5.0,WIFI7,2.5Gb
"ASUS Prime B550M-A WiFi II AMD AM4 (3rd Gen Ryzen) Micro ATX Motherboard (PCIe 4.0, WiFi 6, ECC Memory, 1Gb LAN, HDMI 2.1/D-Sub, 4K@60HZ, Addressable Gen 2 RGB Header and Aura Sync)",ASUS,$99..99,https://www.newegg.com/asus-prime-b550m-a-wifi-ii-micro-atx-amd-motherboard-amd-b550-am4/p/N82E16813119580,43,Free Shipping,AM4,B550,ATX,,,4.0,WIFI I,1Gb
"GIGABYTE B850 AORUS ELITE WIFI7 ICE AMD AM5 LGA 1718 Motherboard, ATX, DDR5, 3x M.2, PCIe 5.0, USB-C, WIFI7, 2.5GbE LAN, EZ-Latch, 5-Year Warranty",GIGABYTE,$209..99,https://www.newegg.com/gigabyte-b850-aorus-elite-wifi7-ice-atx-motherboard-amd-b850-am5/p/N82E16813145544,88,Free Shipping,AM5,B850,ATX,DDR5,3,5.0,WIFI7,2.5Gb
"ASUS ROG STRIX X870E-H GAMING WIFI7 HATSUNE MIKU EDITION AMD X870E ATX motherboard, 16+2+1 power stages, Dynamic OC Switcher, Core Flex, DDR5, WiFi 7, 4x M.2, PCIe 5.0, dual USB4, USB 10Gbps Type-C",ASUS,$599..99,https://www.newegg.com/asus-rog-strix-x870e-h-gaming-wifi7-atx-motherboard-amd-x870e-am5/p/N82E16813119763,N/A,Free Shipping,,X870,ATX,DDR5,4,5.0,WIFI7,
MSI MEG X870E GODLIKE AM5 AMD X870E Extended ATX Motherboard,MSI,"$1,329..99",https://www.newegg.com/msi-meg-x870e-godlike-extended-atx-motherboard-amd-x870e-am5/p/N82E16813144678,85,Free Shipping,AM5,X870,ATX,,,,,
"GIGABYTE B850 GAMING X WIFI6E AMD AM5 LGA 1718 Motherboard, ATX, DDR5, 3x M.2, PCIe 5.0, USB-C, WIFI6E, 2.5GbE LAN, EZ-Latch, 5-Year Warranty",GIGABYTE,$179..99,https://www.newegg.com/gigabyte-b850-gaming-x-wifi6e-atx-motherboard-amd-b850-am5/p/N82E16813145546,10,N/A,AM5,B850,ATX,DDR5,3,5.0,WIFI6E,2.5Gb
"ASUS TUF GAMING Z890-PLUS WIFI Z890 LGA 1851 ATX motherboard, Intel® Core™ Ultra Series 2 Ready, Advanced AI PC-ready, 16+1+2+1 stages, DDR5, PCIe® 5.0, Thunderbolt™ 4 Type-C®, 4x M.2, Wi-Fi 7, 2.5Gb",ASUS,$319..99,https://www.newegg.com/asus-tuf-gaming-z890-plus-wifi-atx-motherboard-intel-z890-lga-1851/p/N82E16813119695,77,Free Shipping,LGA1851,Z890,ATX,DDR5,4,,WIFI Z,
MSI MAG Z890 TOMAHAWK WIFI LGA 1851 Intel Z890 ATX Motherboard,MSI,$259..99,https://www.newegg.com/msi-mag-z890-tomahawk-wifi-atx-motherboard-intel-z890-lga-1851/p/N82E16813144669,135,Free Shipping,LGA1851,Z890,ATX,,,,WIFI L,
"ASUS TUF GAMING X870-PLUS WIFI AMD AM5 X870 ATX motherboard, 16+2+1, 80A SPS power stages, DDR5, PCIe 5.0 Ready, four M.2 slots, Wi-Fi 7, 2.5Gb LAN, HDMI, USB4 40Gbps, SATA 6 Gbps, USB 20Gbps Type-C",ASUS,$299..99,https://www.newegg.com/asus-tuf-gaming-x870-plus-wifi-atx-motherboard-amd-x870-am5/p/N82E16813119686,61,Free Shipping,AM5,X870,ATX,DDR5,,5.0,WIFI A,2.5Gb
"GIGABYTE B550 AORUS ELITE AX V2 AM4 AMD B550 ATX Motherboard with Dual M.2, SATA 6Gb/s, USB 3.2 Gen 2, 2.4/5 GHz Dual-Band, 2.5 GbE LAN, PCIe 4.0",GIGABYTE,$138..99,https://www.newegg.com/gigabyte-b550-aorus-elite-ax-v2-atx-amd-motherboard-amd-b550-am4/p/N82E16813145248,"1,592",N/A,AM4,B550,ATX,,,4.0,,2.5Gb
"GIGABYTE Z890 AORUS ELITE WIFI7 Ultra Core (Series 2) LGA 1851, ATX, DDR5, 4x M.2, PCIe 5.0, Thunderbolt 4, WIFI7, 2.5GbE LAN, EZ-Latch",GIGABYTE,$199..99,https://www.newegg.com/gigabyte-z890-aorus-elite-wifi7-atx-motherboards-intel-intel-z890-lga-1851/p/N82E16813145527,71,Free Shipping,LGA1851,Z890,ATX,DDR5,4,5.0,WIFI7,2.5Gb
ASRock X870E TAICHI AM5 AMD X870E Extended ATX Motherboard,ASRock,$439..99,https://www.newegg.com/asrock-x870e-taichi-extended-atx-motherboard-amd-x870e-am5/p/N82E16813162161,217,Free Shipping,AM5,X870,ATX,,,,,
