Name,URL,Price,Cores,Threads,Frequency (GHz),Cache (MB),Socket
"AMD Ryzen 5 9600X Processeur (Radeon Graphique Intégré, 6 Coeurs/12 Threads, 65W TDP, Socket AM5, Cache 38Mo, jusqu'à 5.4 GHz Fréquence Boost, Pas de Ventilateur)",https://www.amazon.fr/AMD-RyzenTM-9600X-Processeur-Architecture/dp/B0D6NN6TM7/ref=sr_1_1?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sr=1-1&ts_id=430352031,"150,82 €",6,12,5.4,38,AM5
"AMD Ryzen 7 7800X3D Processeur avec La Technologie 3D V-Cache (Radeon Graphique Intégré, 8 Cœurs/16 Threads, 120W TDP, Socket AM5, Cache 104 Mo, Jusqu'à 5,0 GHz Fréquence Boost, sans Ventilateur)",https://www.amazon.fr/AMD-Ryzen-7800X3D-Technologie-Architecture/dp/B0BTZB7F88/ref=sr_1_2_mod_primary_new?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-2&ts_id=430352031,"301,66 €",,16,5.0,104,AM5
"AMD Ryzen 5 7600X Processeur (Integrated Radeon Graphique Intégré, 6 Coeurs/12 Threads, 105W TDP, Socket AM5, Cache 38MB, jusqu'à 5,3 Ghz Fréquence Boost, Pas de Ventilateur)",https://www.amazon.fr/AMD-7600X-Processeur-Architecture-Fr%C3%A9quence/dp/B0BBJDS62N/ref=sr_1_3_mod_primary_new?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-3&ts_id=430352031,"121,66 €",6,12,5.3,38,AM5
"AMD Ryzen 7 9700X Processeur (8 Coeurs/16 Threads), 65W DTP, Socket AM5, Cache 40Mo, jusqu'à 5.5 GHz Fréquence Boost, Pas de Ventilateur",https://www.amazon.fr/AMD-9700X-Processeur-Architecture-Fr%C3%A9quence/dp/B0D6NMDNNX/ref=sr_1_4_mod_primary_new?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-4&ts_id=430352031,"240,12 €",8,16,5.5,40,AM5
"AMD Ryzen 5 5500 Processeur (6 Coeurs/12 Threads, 65W TDP, Socket AM4, Cache 19Mo, jusqu'à 4.2 GHz Fréquence Boost, Ventilateur wraith Stealth)",https://www.amazon.fr/AMD-Ryzen-5500-Ventilateur-Stealth/dp/B09VCJ171S/ref=sr_1_5?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sr=1-5&ts_id=430352031,"76,00 €",6,12,4.2,19,AM4
"Intel® Core™ Ultra 7 265K processeur pour PC de Bureau 20 cœurs (8 P-Cores + 12 E-Cores) jusqu'à 5,5 GHz",https://www.amazon.fr/Intel%C2%AE-Ultra-265K-processeur-P-Cores/dp/B0DFK2MH2D/ref=sr_1_6?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sr=1-6&ts_id=430352031,"311,00 €",,,5.5,,
"AMD Ryzen 9 9950X Processeur (Radeon Graphique Intégré, 16 Coeurs/32 Threads, 170 W TDP, Socket AM5, Cache 80MB,jusqu'à 5.7 GHz Fréquence Boost, Pas de Ventilateur)",https://www.amazon.fr/AMD-RyzenTM-9950X-Processeur-Architecture/dp/B0D6NNRBGP/ref=sr_1_7?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sr=1-7&ts_id=430352031,"435,82 €",16,32,5.7,80,AM5
"AMD Ryzen 7 5700X Processeur (8 Coeurs/16 Threads,65W TDP, Socket AM4, Cache 36Mo, jusqu'à 4.6 GHz Fréquence Boost, pas de Ventilateur)",https://www.amazon.fr/AMD-Ryzen-5700X-sans-Ventilateur/dp/B09VCHQHZ6/ref=sr_1_8?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sr=1-8&ts_id=430352031,"150,00 €",8,16,4.6,36,AM4
"AMD Ryzen 9 7900X Processeur (Radeon Graphique Intégré 12 Coeurs/24 Threads, 170W TDP, Socket AM5, Cache 76MB, jusqu'à 5.6 GHz Fréquence Boost, sans Ventilateur)",https://www.amazon.fr/AMD-7900X-Processeur-Architecture-Fr%C3%A9quence/dp/B0BBJ59WJ4/ref=sr_1_9?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sr=1-9&ts_id=430352031,"314,00 €",12,24,5.6,76,AM5
Intel® Core™ i5-14600KF Desktop Processor 14 Cores (6 P-Cores + 8 E-Cores) up to 5.3 GHz,https://www.amazon.fr/Intel%C2%AE-i5-14600KF-Desktop-Processor-P-Cores/dp/B0CHBH63YX/ref=sr_1_10?c=ts&dib=eyJ2IjoiMSJ9.WC7BW1lzxnYZkA-_yMFVP4IZs67-nl9pi303EHAmVdAwJ_wJSDdG9hbQgq2KlblTTkEYdWKmGJGpGgnXDU2HX-bUh9Tz1yTFHeMf8w-tw5dU2Rp8gUSIOiCIjoXSuE3jh8vWc7S0ZRvPJiXwD99HuFSsAvJpdsMjKJklwHBSVMgEcriFVy6UjGRx5nGTuA9QYKo1SNd5n5LrYdoduemyw7f9zQxKko3JJG8BZ1MX6IMdMpTxtJP5TwnvXjArMjbmWKYoOnIGVoItK8e3k1yf0L1OWjAFLAJNUidDdKRLWW4.5YscFV-lNirVl_jhrnxd6hZw20DQdCEg7tdxLkM3Tgc&dib_tag=se&keywords=CPUs&qid=1760137833&s=computers&sr=1-10&ts_id=430352031,"207,00 €",14,,5.3,,
