Name,URL,Price,Taille RAM,Type de RAM,Carte graphique,Fréquence d’horloge de la mémoire
"ASUS Dual GeForce RTX 3050 OC Edition Carte Graphique de Jeu 6 Go GDDR6 (Nvidia GeForce RTX3050 DLSS, PCIe 4.0, 1 x HDMI 2.1a, 1 x DisplayPort 1.4a, DUAL-RTX3050-O6G)",https://www.amazon.fr/ASUS-GeForce-Graphique-DisplayPort-DUAL-RTX3050-O6G/dp/B086ZSQZZ7/ref=sr_1_1?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-1&ts_id=430340031,"157,40 €",6 Go,Mémoire GDDR6,PCI-Express x16,4000
"GIGABYTE GeForce RTX 5060 WINDFORCE OC 8G Carte Graphique - 8GB GDDR7, 128bit, PCI-E 5.0, 2512 MHz Fréquence du cœur, 3 x DisplayPort, 1 x HDMI, GV-N5060WF2OC-8GD",https://www.amazon.fr/GIGABYTE-GeForce-WINDFORCE-Carte-Graphique/dp/B0F6NLT7M4/ref=sr_1_2?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-2&ts_id=430340031,"254,17 €",8,GDDR7,PCI Express,28000 MHz
MSI GT 710 2GD3H LP Carte Graphique Nvidia GT710 954 MHz 2048 Mo PCI Express Noir,https://www.amazon.fr/MSI-2GD3H-Graphique-Nvidia-Express/dp/B01AY78MLM/ref=sr_1_3?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-3&ts_id=430340031,"41,66 €",2 Go,Mémoire GDDR3,PCI Express,1.6E+3 MHz
"MSI NVIDIA GeForce RTX 5050 8G Shadow 2X OC Carte Graphique - 8 Go GDDR7 (20 GB/s /128 Bits), PCIe 5.0 - Double Ventilateur (2X Ventilateurs TORX 5.0), HDMI 2.1b, DisplayPort 2.1b",https://www.amazon.fr/MSI-NVIDIA-GeForce-Shadow-Graphique/dp/B0FG33PH79/ref=sr_1_4?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-4&ts_id=430340031,"215,83 €",8 Go,Mémoire GDDR6,PCI Express,2602 MHz
"ASUS Prime GeForce RTX 5070 OC 12G GDDR7 Gaming Graphics Card - PCIe 5.0, 2587MHz Boost Clock, 1 x HDMI 2.1b, 3 x DP 2.1b, 2.5-Slot, Axial-Tech Fans, Dual BIOS, SFF-Ready",https://www.amazon.fr/Asus-Prime-GeForce-RTXTM-GDDR7/dp/B0DYPFY7JG/ref=sr_1_5?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-5&ts_id=430340031,"490,83 €",16,GDDR7,PCI-Express x16,24000 MHz
"MSI NVIDIA GeForce RTX 5070 12G Ventus 3X OC Carte Graphique - 12 Go GDDR7 (28 GB/s /192 Bits), PCIe 5.0 - Triple Ventilateur (3X Ventilateurs TORX 5.0), HDMI 2.1b, DisplayPort 2.1b, SFF Ready",https://www.amazon.fr/MSI-NVIDIA-GeForce-Ventus-Graphique/dp/B0DX7GG91F/ref=sr_1_6?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-6&ts_id=430340031,"475,00 €",12 Go,GDDR7,PCI Express,2557 MHz
"MSI NVIDIA GeForce RTX 5060 8G Inspire 2X OC Carte Graphique 8 Go GDDR7 (28 Gb/s/128 Bits), Refroidissement à Double Ventilateur (2 x Ventilateurs STORMFORCE) - HDMI 2.1b, DisplayPort 2.1b,",https://www.amazon.fr/MSI-GeForce-Inspire-Graphique-Fr%C3%A9quence/dp/B09729WTCK/ref=sr_1_7?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-7&ts_id=430340031,"241,67 €",8 Go,GDDR7,PCI Express,286 MHz
"MSI NVIDIA GeForce RTX 3050 Ventus 2X XS 8G OC Carte Graphique - 8 Go GDDR6, 1807 MHz, PCI Express Gen 4, 128 Bits, DP v 1.4a, DL DVI-D, HDMI 2.1 (Prend en Charge 4K à 120 Hz)",https://www.amazon.fr/MSI-RTX-3050-VENTUS-2X/dp/B09Y57F1HL/ref=sr_1_8?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-8&ts_id=430340031,"169,86 €",8 Go,Mémoire GDDR6,PCI Express,1807 MHz
"MSI NVIDIA GeForce RTX 3050 Ventus 2X XS White 8G OC Carte Graphique - 8 Go GDDR6, 1807 MHz, PCI Express Gen 4, 128 Bits, DP v 1.4a, DL DVI-D, HDMI 2.1 (Prend en Charge 4K à 120 Hz)",https://www.amazon.fr/MSI-GEFORCE-Ventus-White-Graphique/dp/B0DM9FGCXC/ref=sr_1_9?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-9&ts_id=430340031,"183,49 €",8 Go,Mémoire GDDR6,PCI Express,14000 MHz
"Gigabyte GeForce RTX 5070 WINDFORCE OC SFF 12G Carte Graphique - 12Go GDDR7, 192 Bits, PCI-E 5.0, 2542 MHz Core Clock, 3 x DP 2.1a, 1 x HDMI 2.1b, NVIDIA DLSS 4, GV-N5070WF3OC-12GD",https://www.amazon.fr/Gigabyte-GeForce-WINDFORCE-Carte-Graphique/dp/B0DTGP2WMT/ref=sr_1_10?c=ts&dib=eyJ2IjoiMSJ9.1VK1Z6j0q2E8pBGBAC70p1F1-5zU9fxB3yUmZfa9Vp1jqs2FGrtjJKFKzg2XEDKQgQ8r-aF33sJ8DvHMWILcFXxcdVB2611o-H_a0_18kMnEth8wTns7NPQkXw1ks_bsgwnbxtIiNheTkF5I0l3dyn0tt2vcnVDV0iCk5aJP5jeEGJ-GPmoFn6yjgsJV_PlKiVNW7ts7Pl3x9ZZYtOAStcPHMXhLZiUc5WJZb-JMhJ3iRI8cOd6qD9kVijYkdcOMS2tlpJPBhuCy5LufZS1Z5Avw52yDripIlfQ1K66vRmY.D3v1J9TmUjHZ7_YNCOuC7LnsRL-eXCZzilML0n5_Urw&dib_tag=se&keywords=Graphics+Cards&qid=1760138436&s=computers&sr=1-10&ts_id=430340031,"477,50 €",12 Go,GDDR7,PCI-Express x16,28000 MHz
