Name,URL,Price,Brand,Chipset,Socket,Form Factor,Memory Type,Memory Max OC,WiFi,WiFi Standard,PCIe,M2 Gen,VRM
"GIGABYTE Carte mère A520M K V2 - Prend en charge les processeurs AMD Ryzen série 5000 AM4, jusqu'à 5100MHz DDR4 (OC), PCIe Gen3 x4 M.2, LAN GbE, USB 3.2 Gen 1",https://www.amazon.fr/GIGABYTE-A520M-K-V2/dp/B0BXFBN121/ref=sr_1_1?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-1&ts_id=430341031,"44,93 €",Gigabyte,5000,AM4,,DDR4,,No,,,,
"GIGABYTE B650 Eagle AX Carte mère - AMD Ryzen série 9000, VRM 12+2+2 Phases, jusqu'à 7600 MHz DDR5 (OC), 1xPCIe 5.0 + 2xPCIe 4.0 M.2, LAN GbE, WiFi 6E, USB 3.2 Gen 2",https://www.amazon.fr/GIGABYTE-B650-EAGLE-AX-Eagle/dp/B0CSKH1NJF/ref=sr_1_2?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-2&ts_id=430341031,"114,00 €",Gigabyte,B650,,,DDR5,,Yes,WiFi 6e,"5.0, 4.0",,12
"Gigabyte B760 Gaming X DDR4 Carte Mère - Prend en Charge Les processeurs Intel Core de 14e génération, VRM numérique 8+1+1 Phases, jusqu'à 5333MHz DDR4 (OC), 3xPCIe 4.0 M.2, LAN 2.5GbE, USB 3.2 Gen 2",https://www.amazon.fr/GIGABYTE-B760-Gaming-DDR4-Intel/dp/B0BPYTR6J5/ref=sr_1_3?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-3&ts_id=430341031,N/A,Gigabyte,B760,,,DDR4,,No,,4.0,,
"MSI Carte mère de jeu MPG B550 Gaming Plus (ATX), AMD AM4, DDR4 M.2, USB 3.2 Gen 2, HDMI ATX, carte mère de jeu, processeurs AMD Ryzen™ 5000",https://www.amazon.fr/MSI-B550-Gaming-Plus-911-7C56-001/dp/B08B4V6H3N/ref=sr_1_4?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-4&ts_id=430341031,"89,71 €",Msi,B550,AM4,ATX,DDR4,,No,,,,
"GIGABYTE Carte mère X870E A Elite WIFI7 - Prend en Charge Les processeurs AMD Ryzen 9000, VRM numérique 16+2+2 Phases, jusqu'à 8000MHz DDR5 (OC), 3xPCIe 5.0, Wi-FI 7, LAN 2.5GbE, USB 4",https://www.amazon.fr/GIGABYTE-Carte-X870E-Elite-WIFI7/dp/B0DFQFLQP2/ref=sr_1_5?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-5&ts_id=430341031,"202,13 €",Gigabyte,X870E,,,DDR5,,Yes,WiFi 7,5.0,,
"GIGABYTE B550M AORUS ELITE AX Carte mère - Processeurs AMD Ryzen 5000, VRM 5+3 phases, jusqu'à 4733 MHz DDR4, 1xPCIe 4.0 + 1xPCIe 3.0 M.2, Wi-Fi 6E, LAN 1GbE, USB 3.2 Gen 1",https://www.amazon.fr/GIGABYTE-B550M-AORUS-AX-Realtek/dp/B0BZQ1TNW8/ref=sr_1_6?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-6&ts_id=430341031,"91,66 €",Gigabyte,B550M,,,DDR4,,No,,"4.0, 3.0",,
"GIGABYTE B650M Gaming WIFI6E Carte Mère - Processeurs AMD Ryzen Série 9000, VRM 5+2+2 Phases, jusqu'à 6400 MHz DDR5 (OC), 1xPCIe 4.0 M.2, LAN 2,5 GbE, WiFi 6E, USB 3.2 Gen 1",https://www.amazon.fr/GIGABYTE-B650M-Gaming-WIFI6E-Carte/dp/B0DTYZJQXC/ref=sr_1_7?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-7&ts_id=430341031,"111,03 €",Gigabyte,B650M,,,DDR5,,Yes,WiFi 6e,4.0,,
"MSI B760 Gaming Plus WiFi DDR4 Carte mère, ATX - pour processeurs Intel 14e, 13e & 12e gén, LGA 1700 - DDR4 Memory Boost 5333+MHz/OC, 1 x PCIe 4.0 x16, 2 x M.2 Gen4, 2.5G LAN, Wi-FI 6E",https://www.amazon.fr/MSI-B760-Gaming-Plus-Carte/dp/B0BSLMNGM9/ref=sr_1_8_mod_primary_new?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-8&ts_id=430341031,"101,27 €",Msi,B760,,ATX,DDR4,,Yes,WiFi ,4.0,4,
"MSI X670E Gaming Plus WiFi Carte mère, ATX, Prend en Charge Les processeurs AMD Ryzen 9000, 8000 & 7000, AM5 – DDR5 Memory Boost 7800+MHz/OC, PCIe 5.0, M.2 Gen5, 2.5G LAN, Wi-FI 6E",https://www.amazon.fr/MSI-X670E-Gaming-Charge-processeurs/dp/B0CQPLGTRV/ref=sr_1_9?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-9&ts_id=430341031,"158,32 €",Msi,X670E,AM5,ATX,DDR5,,Yes,WiFi ,5.0,5,
"ASUS TUF GAMING B650-PLUS WIFI – Carte mère gaming AMD Ryzen AM5 ATX (14 phases d'alimentation, PCIe 5.0 M.2 support, DDR5, WiFi 6, 2.5 Gb Ethernet, USB4, Aura Sync RGB)",https://www.amazon.fr/ASUS-GAMING-B650-PLUS-WIFI-dalimentation/dp/B0BHJKR3BV/ref=sr_1_10?c=ts&dib=eyJ2IjoiMSJ9.hQX_9PfZTHoXFrwumjL_vvTSWNx1FQTS99H-OlV5Yy7_1_whuPCj-bKqaUl6XHnH1MnOWQHMCk02OAhoGl7M8r2nQj7icB0SvCGoNUZBfirD12G2YVicQURbvgo83TuX76bE0mXXzwAjV3XRz6kWyYRG-9lMYaEZiu9W35sUA-TgWBBaS_EfZWpurcAoEQGhNnHl4h-NpkS19qyneEmrK1agBRow4fJhyEun7z-B6R6zl4Ec8brlnM8P7hCxXNJGXAw70IN7xEzAwn4fF99fSzODZeqkqUVeySrxxhf-vNM.Zj5thb4MxeJcE8JgYLDkxsUNlVpN_CR6CpuEOgdQPPs&dib_tag=se&keywords=Motherboards&qid=1760141076&s=computers&sr=1-10&ts_id=430341031,"137,87 €",Asus,B650,AM5,ATX,DDR5,,Yes,WiFi ,5.0,,
