Brand,Model,Total Capacity,Kit,Speed,CAS Latency,Type,Features,Title,Price,Rating,Reviews
Corsair,,,,3200MHz,CL16,DDR4,Intel XMP,Corsair Vengeance LPX DDR4 RAM 32Go (2x16Go) 3200MHz CL16 Intel XMP 2.0 Mémoire d'ordinateur - Noir (CMK32GX4M2E3200C16),"79,03 €
79
,
03€",,26 737
Crucial,CRUCIAL,,,6000MHz,CL36,DDR5,"Intel XMP, AMD EXPO, Overclocking","Crucial Pro RAM DDR5 32Go Kit (2x16Go) 6000MHz CL36, Overclocking Gaming, Intel XMP 3.0 / AMD Expo, PC Mémoire, Noir - CP2K16G60C36U5B","77,49 €
77
,
49€",,4 006
Corsair,,,,,,DDR4,,"Corsair Vengeance LPX 32 Go (2 x 16 Go) DDR4 3600 (PC4-28800) Mémoire Optimisée AMD C18 1,35 V - Noir","137,22 €
137
,
22€",,3 657
Corsair,,32GB,2x16gb,6000MHz,CL30,DDR5,AMD EXPO,CORSAIR Vengeance DDR5 RAM 32GB (2x16GB) 6000MHz CL30 AMD Expo Mémoire D'ordinateur Compatible iCUE - Gris (CMK32GX5M2B6000Z30),"109,94 €
109
,
94€",,2 456
,,16GB,,3200MHz,,DDR4,,Integral 16GB (2x 8GB) DDR4 RAM 3200MHz DIMM Kit de mémoire PC de bureau,"35,79 €
35
,
79€",,285
Corsair,,32GB,2x16gb,6000MHz,CL36,DDR5,AMD EXPO,CORSAIR Vengeance RGB DDR5 RAM 32GB (2x16GB) 6000MHz CL36 AMD Expo Mémoire Informatique Compatible iCUE - Gris (CMH32GX5M2E6000Z36),"106,37 €
106
,
37€",,1 004
Crucial,,,,2400MHz,CL17,DDR4,,"Crucial RAM DDR4 8Go 2400MHz SODIMM CL17, Mémoire pour Ordinateur Portable, Mini PC - CT8G4SFS824A","11,66 €
11
,
66€",,103 053
,,,,,,DDR4,,"Lexar SODIMM RAM DDR4 16Go, 3200 MHz Ram PC Portable, Mémoire pour Ordinateur Portable SODIMM, 260-Pin SO-DIMM, Mémoire RAM, Memoire Haute Performance (LD4AS016G-B3200ASST)","40,82 €
40
,
82€",,1 209
Corsair,,32GB,2x16gb,6000MHz,CL36,DDR5,AMD EXPO,CORSAIR Vengeance DDR5 RAM 32GB (2x16GB) 6000MHz CL36 AMD Expo Mémoire Informatique Compatible iCUE - Gris (CMK32GX5M2E6000Z36),"99,99 €
99
,
99€",,1 080
Crucial,CRUCIAL,,,6000MHz,CL36,DDR5,"Intel XMP, AMD EXPO, Overclocking","Crucial Pro RAM DDR5 32Go Kit (2x16Go) 6000MHz CL36, Overclocking Gaming, Intel XMP 3.0 / AMD Expo, PC Mémoire, Blanc - CP2K16G60C36U5W","78,32 €
78
,
32€",,4 006
