latent_cpu_df_0,latent_cpu_df_1,latent_cpu_df_2,latent_cpu_df_3,latent_cpu_df_4,latent_cpu_df_5,latent_cpu_df_6,latent_cpu_df_7,latent_cpu_df_8,latent_cpu_df_9,latent_cpu_df_10,latent_cpu_df_11,latent_cpu_df_12,latent_cpu_df_13,latent_cpu_df_14,latent_cpu_df_15,latent_cpu_df_16,latent_cpu_df_17,latent_cpu_df_18,latent_cpu_df_19,latent_cpu_df_20,latent_cpu_df_21,latent_cpu_df_22,latent_cpu_df_23,latent_cpu_df_24,latent_cpu_df_25,latent_cpu_df_26,latent_cpu_df_27,latent_cpu_df_28,latent_cpu_df_29,latent_cpu_df_30,latent_cpu_df_31,latent_cpu_df_32,latent_cpu_df_33,latent_cpu_df_34,latent_cpu_df_35,latent_cpu_df_36,latent_cpu_df_37,latent_cpu_df_38,latent_cpu_df_39,latent_cpu_df_40,latent_cpu_df_41,latent_cpu_df_42,latent_cpu_df_43,latent_cpu_df_44,latent_cpu_df_45,latent_cpu_df_46,latent_cpu_df_47,latent_cpu_df_48,latent_cpu_df_49,latent_cpu_df_50,latent_cpu_df_51,latent_cpu_df_52,latent_cpu_df_53,latent_cpu_df_54,latent_cpu_df_55,latent_cpu_df_56,latent_cpu_df_57,latent_cpu_df_58,latent_cpu_df_59,latent_cpu_df_60,latent_cpu_df_61,latent_cpu_df_62,latent_cpu_df_63
0.041482657,0.77238303,0.009216294,0.25845847,0.52037275,0.097500846,0.0,0.0,0.0012498498,0.0,0.4535995,0.0,0.16533421,0.8980772,0.055987462,0.27922663,0.61937344,0.20418385,0.0,0.021868408,0.22034179,0.18050021,0.17485948,0.0,0.34793296,1.018516,0.20873566,0.012386188,0.032891534,0.09892137,1.2696654,0.0,0.15987274,0.05325017,0.1794152,0.0,0.14225413,0.0,0.07633039,0.0,0.33700913,0.0,0.6102148,0.3336156,1.0986176,0.59487367,0.06240362,0.22294456,0.0,0.0,0.0,0.42319697,0.0,0.7659825,0.25158167,0.47039884,0.27535266,0.0,0.012460455,0.4255392,0.45748836,0.022999845,0.0,0.15365854
0.0,0.8145151,0.0,0.17599891,0.50133324,0.0,0.14555968,0.0,0.0,0.0,0.5597838,0.02076517,0.21592246,0.86733156,0.05653816,0.12942994,0.58577204,0.21773449,0.0,0.0,0.22498305,0.10164121,0.3039447,0.0,0.35520005,1.1127516,0.16225576,0.0,0.11022632,0.0027842373,1.2973009,0.1010991,0.21959159,0.039851397,0.20376359,0.0,0.156203,0.0,0.0,0.0,0.43094862,0.03567356,0.68787956,0.3491488,1.1178261,0.52580875,0.0,0.1808627,0.0,0.0,0.0,0.38449374,0.1153394,0.8471242,0.20409866,0.4920823,0.22407015,0.0,0.10051952,0.47471562,0.4319719,0.0,0.0066414475,0.17667714
0.0,0.7946007,0.0,0.2424265,0.47103354,0.114374205,0.032802925,0.0,0.0,0.0,0.3961814,0.00033964217,0.26997408,0.87469316,0.0,0.29889506,0.46616971,0.25183663,0.0,0.0,0.13190253,0.21337497,0.15001842,0.0,0.43074664,1.0912861,0.20188692,0.08600445,0.031116473,0.12441681,1.3949175,0.026209734,0.19167808,0.0,0.14519238,0.0,0.0,0.0,0.0,0.0,0.42900154,0.008171499,0.62697715,0.4220192,1.2392564,0.6601989,0.026613936,0.32617185,0.0,0.0,0.0,0.3803527,0.0,0.7786317,0.3371793,0.4840374,0.25423998,0.0,0.0,0.41469204,0.5014922,0.0,0.014814384,0.11373458
0.0,0.7057366,0.0,0.21912538,0.6181775,0.18851173,0.12643255,0.0,0.0,0.018070783,0.47316232,0.0,0.13779034,0.78886765,0.04133351,0.18309996,0.6948136,0.102710515,0.0,0.0,0.14111109,0.31676215,0.0,0.0,0.35830814,1.132891,0.11739239,0.18872565,0.04642262,0.17376997,1.3287405,0.0,0.22141606,0.0,0.020474114,0.015530657,0.23130314,0.0,0.0,0.0,0.361597,0.053617895,0.55553055,0.13718277,1.2146952,0.6677819,0.0,0.15410356,0.0,0.0,0.0,0.41104025,0.0,0.89917135,0.07891053,0.63338673,0.35771197,0.0,0.0,0.38218212,0.38436475,0.0,0.07358278,0.047624208
0.0,0.8927273,0.0,0.15803777,0.50291836,0.0,0.26141953,0.0,0.04373002,0.078182265,0.62355876,0.0,0.15827541,0.7905868,0.061997343,0.13778771,0.6255055,0.17551173,0.0,0.0,0.253177,0.1527108,0.0723623,0.0,0.33334643,1.1430546,0.14517485,0.015047394,0.08776682,0.07423371,1.3394998,0.09517666,0.16267943,0.0,0.0,0.0,0.25266388,0.0,0.0,0.0,0.35047793,0.11933999,0.60897464,0.07849282,1.1552579,0.5368064,0.0,0.15026055,0.0023870897,0.0,0.0,0.43390936,0.13918667,0.88263106,0.0,0.5597357,0.300284,0.0,0.0,0.3520417,0.40095064,0.0,0.10625029,0.03835208
0.0,0.8349211,0.0,0.2423662,0.4373283,0.0,0.19653934,0.0,0.0,0.02361694,0.5523629,0.0643843,0.20379059,0.80262697,0.06431095,0.11932984,0.6307306,0.25237107,0.0,0.09172301,0.16462491,0.22113344,0.17741033,0.0,0.3177494,1.1253026,0.15568677,0.0,0.12833185,0.09615655,1.1867353,0.0,0.23086153,0.12569648,0.17978889,0.0,0.15227176,0.0,0.07727541,0.0,0.36053938,0.1140244,0.60706246,0.27028438,1.1523982,0.6246239,0.0,0.2667713,0.0,0.0,0.10324608,0.4100985,0.05931103,0.8324398,0.25688812,0.5218184,0.1852313,0.0,0.036408022,0.34283143,0.50827754,0.0,0.0,0.2291115
0.0,0.6115141,0.025126763,0.5975133,0.7069088,0.17486125,0.5421564,0.0,0.32795054,0.0,0.898799,0.24426581,0.22766815,0.5487553,0.42427343,0.0,0.7581409,0.0,0.0,0.1283554,0.70466983,0.0,0.2696277,0.0,0.21663326,0.9200163,0.42160755,0.26362616,0.0,0.55127645,0.8563376,0.2473574,0.22542623,0.21446672,0.0,0.0,0.08050108,0.0,0.0,0.0,0.32627505,0.3406937,0.8323386,0.0024006367,0.38090056,0.3307553,0.0,0.0,0.0,0.0,0.39376268,0.0,0.33436075,0.8999871,0.004240021,0.7894138,0.0,0.0,0.50110626,0.3088196,0.6167323,0.0,0.51698315,0.28708306
0.0,0.6192511,0.0,0.59957695,0.7526971,0.29610723,0.55030715,0.0,0.25237548,0.0,0.76104516,0.23709026,0.21135527,0.640951,0.30440602,0.0,0.757122,0.0,0.0,0.12206011,0.7185022,0.0,0.265549,0.0,0.29869556,0.82211626,0.38838148,0.3690732,0.0,0.6057195,0.9147772,0.17852542,0.21806888,0.2579188,0.0,0.0,0.0,0.0,0.06414892,0.0,0.29273683,0.4627772,0.9366189,0.0,0.34454376,0.31917274,0.0,0.0,0.0,0.060656752,0.36689353,0.0,0.43123156,0.82843184,0.04380752,0.804721,0.0,0.0,0.62496114,0.26536104,0.5991458,0.0,0.44617862,0.36698428
0.0,0.54793876,0.0,0.63490975,0.8105408,0.23870099,0.47597754,0.0,0.21550608,0.0,0.87406176,0.20725204,0.15051816,0.5953875,0.3223889,0.07107521,0.69610524,0.0,0.0,0.095865645,0.6378836,0.0,0.32697013,0.0,0.30257452,0.7872727,0.4221092,0.3200481,0.0,0.6293655,0.86195236,0.16045973,0.22556433,0.25614294,0.0,0.0,0.0,0.0,0.055762157,0.0,0.32228845,0.36254644,0.8960907,0.081365526,0.27206373,0.46626484,0.0,0.0,0.0,0.031255756,0.5015108,0.0,0.4101113,0.85176504,0.08214171,0.888217,0.0,0.0,0.5833939,0.22997203,0.63979906,0.0,0.52274936,0.2923965
0.10886271,0.99604034,0.0,0.43612075,0.45221442,0.21035515,0.2348545,0.0,0.13414326,0.15519847,0.63397086,0.0,0.13752006,0.8404961,0.14993925,0.36787108,0.66817474,0.018359821,0.0,0.14482364,0.39541906,0.27772412,0.0,0.0,0.5897482,1.3389797,0.16151884,0.33449334,0.10058226,0.45692927,1.4567224,0.1767717,0.32969335,0.0,0.28431484,0.0,0.0,0.0,0.07614418,0.0,0.6351041,0.2310798,0.68472123,0.28835127,0.98483753,0.7525758,0.03412223,0.18847582,0.0,0.19083928,0.0,0.25192606,0.0220127,0.9486116,0.40345514,0.526895,0.10918997,0.0,0.2577265,0.33736423,0.459316,0.0,0.29700214,0.112238266
