latent_gpu_df_0,latent_gpu_df_1,latent_gpu_df_2,latent_gpu_df_3,latent_gpu_df_4,latent_gpu_df_5,latent_gpu_df_6,latent_gpu_df_7,latent_gpu_df_8,latent_gpu_df_9,latent_gpu_df_10,latent_gpu_df_11,latent_gpu_df_12,latent_gpu_df_13,latent_gpu_df_14,latent_gpu_df_15,latent_gpu_df_16,latent_gpu_df_17,latent_gpu_df_18,latent_gpu_df_19,latent_gpu_df_20,latent_gpu_df_21,latent_gpu_df_22,latent_gpu_df_23,latent_gpu_df_24,latent_gpu_df_25,latent_gpu_df_26,latent_gpu_df_27,latent_gpu_df_28,latent_gpu_df_29,latent_gpu_df_30,latent_gpu_df_31,latent_gpu_df_32,latent_gpu_df_33,latent_gpu_df_34,latent_gpu_df_35,latent_gpu_df_36,latent_gpu_df_37,latent_gpu_df_38,latent_gpu_df_39,latent_gpu_df_40,latent_gpu_df_41,latent_gpu_df_42,latent_gpu_df_43,latent_gpu_df_44,latent_gpu_df_45,latent_gpu_df_46,latent_gpu_df_47,latent_gpu_df_48,latent_gpu_df_49,latent_gpu_df_50,latent_gpu_df_51,latent_gpu_df_52,latent_gpu_df_53,latent_gpu_df_54,latent_gpu_df_55,latent_gpu_df_56,latent_gpu_df_57,latent_gpu_df_58,latent_gpu_df_59,latent_gpu_df_60,latent_gpu_df_61,latent_gpu_df_62,latent_gpu_df_63
0.48188603,1.1106257,1.3837723,0.0,0.022596043,0.9707501,0.04905802,0.0,0.0,0.0,0.06283944,0.0009486154,0.0,0.19523448,0.0,0.68265617,0.0,0.3391907,0.7184224,1.1833223,0.610178,1.3289636,0.5625097,0.021302454,0.65139514,0.5405596,0.0,1.2020614,0.5519266,0.62450767,0.0891929,0.10546726,0.38557824,1.2661046,0.0,0.0,0.0,0.9277173,0.0,0.0,0.36666882,1.0617985,0.8458371,0.27051285,0.03212776,0.5801928,0.65998083,0.0,1.4868611,0.0,0.024049647,0.8671615,0.0,0.56154865,0.21269536,0.049685426,0.0028541787,0.37790316,0.679309,0.1299237,0.0,0.0,0.0,0.41033432
0.16405964,1.1051123,0.52630556,0.23637512,0.5679899,0.35087895,0.25671643,0.45255235,0.7321703,0.0,1.4557986,0.3646238,0.0,0.3206788,0.0,0.9907631,0.4647763,0.6939205,0.803973,0.77158195,1.4479626,0.685083,0.2508283,0.38205892,0.8370168,1.0347372,0.69594836,0.35521162,0.3462403,0.25091392,0.14578909,0.1467041,1.0988194,0.5679548,0.0,0.32456142,1.0677317,0.6513997,0.0,0.0,0.6137622,0.60372025,0.77281904,0.61970836,0.19916001,1.2105919,0.5873052,0.0,0.38472357,1.1737111,0.0,0.88140774,0.0,0.94602585,0.0,0.32527873,0.17368913,0.18292527,0.3405153,1.2347388,0.0,0.0,1.0630186,0.512951
0.098077595,1.179183,0.24301162,0.46021158,0.3953372,0.08678064,0.08865504,0.813892,1.2418758,0.0,1.548935,0.5993124,0.48784465,0.20695546,0.0,1.2078146,0.4497912,0.70889616,0.95715606,0.54963934,1.5810429,0.050764304,0.015455758,0.67248476,1.0031434,1.2883675,1.0699084,0.0,0.66250074,0.16372675,0.42347664,0.084601894,1.4187502,0.90342045,0.0,0.7386982,1.3784635,0.7167876,0.0,0.005887844,0.6088968,0.37517664,0.6065091,0.78326625,0.76683056,1.6779081,0.7426454,0.0,0.0,1.6685423,0.00013300776,0.9719912,0.2677254,1.0233113,0.4498974,0.38213268,0.04420647,0.2805603,0.045623578,1.2370737,0.0,0.26290396,1.3683434,0.040111125
0.42901224,1.226495,1.3474554,0.06927694,0.0,1.0172865,0.03867364,0.0,0.0,0.0,0.0,0.0,0.0,0.13354293,0.0,0.82040256,0.0,0.2272078,0.7025758,1.1828991,0.6437818,1.2173177,0.5303635,0.0022810027,0.67100173,0.5000944,0.0,1.3489072,0.51511383,0.682969,0.10740359,0.06333348,0.388196,1.2470913,0.0,0.0,0.0,0.7733262,0.0,0.0,0.30621427,1.1458311,0.8081914,0.21102166,0.0,0.59681875,0.7124705,0.0,1.4640423,0.0,0.18877763,0.8708268,0.0,0.68019235,0.26679718,0.071282156,0.0,0.32672474,0.5771049,0.079948954,0.0,0.0,0.009487212,0.4355998
0.43135178,1.2263664,1.3455732,0.070062615,0.0,1.0153561,0.039773583,0.0,0.0,0.0,0.0,0.0,0.0,0.13482133,0.0,0.8190518,0.0,0.22781931,0.7010481,1.1832942,0.6431773,1.218249,0.5312398,0.0019573495,0.6691069,0.49857524,0.0,1.3481638,0.5158614,0.68370944,0.10608606,0.062824756,0.38835284,1.2440666,0.0,0.0,0.0,0.7732542,0.0,0.0,0.30499154,1.1458699,0.81130135,0.21329659,0.0,0.5955407,0.7155065,0.0,1.4634417,0.0,0.19043922,0.87099326,0.0,0.6811218,0.26645076,0.07247005,0.0,0.32655028,0.5779808,0.0811246,0.0,0.0,0.0094694495,0.4353406
0.39490488,1.0485864,1.3055617,0.0902955,0.08161853,0.8008687,0.0,0.03568872,0.11708216,0.0,0.0232554,0.27944794,0.042316284,0.5260177,0.0,0.60113335,0.0,0.24560933,0.5855007,1.1027473,0.76683146,1.2497962,0.5355445,0.08678829,0.5046467,0.37167844,0.0,0.996159,0.73273295,0.7655006,0.11931278,0.098741785,0.34095505,1.8515394,0.0,0.064280376,0.0,1.3549613,0.0,0.0,0.4459306,0.7803145,0.87320316,0.20313805,0.21266428,0.5241972,0.44978017,0.0,1.3910712,0.21584693,0.13825163,0.88279843,0.0,0.51579475,0.48225278,0.06599615,0.0,0.5025828,0.66217566,0.008793734,0.0,0.0,0.0,0.0
0.5038904,0.67608976,0.0,0.6099567,0.9597188,0.4114204,1.1375706,0.0,2.1957188,0.0,0.7396289,0.67262167,0.0,1.610868,0.0,1.3519942,1.540929,0.0,1.6194248,1.8117217,1.5542372,1.4566525,0.37943038,0.78020334,1.1959568,2.6109335,0.402339,0.0,1.6645552,0.6037507,0.12129183,0.5696665,0.7771237,0.0,0.0,1.2870407,1.0751398,0.16319147,0.0,0.0,1.6138079,1.4709735,0.75270224,1.6142677,0.6064873,1.3138634,0.059305158,0.0,1.3557961,0.47625268,0.0,2.0932627,0.0,0.5897434,0.89953315,0.19560999,0.83665985,0.6581358,0.0,1.1499318,0.0,0.0,1.0765855,0.30224925
0.2777959,1.2178092,0.33552274,0.6989766,0.6965502,0.0,0.0,0.05194187,1.079133,0.0,1.1758128,0.32394704,0.0,0.81738955,0.0,1.0345519,0.2626823,0.27907574,0.6869931,0.7948501,1.4897693,0.6134618,0.20372802,0.29038244,0.9225722,0.79010403,0.5271233,0.0,0.71813637,0.5095806,0.2325271,0.2153889,1.0373199,1.394026,0.0,0.2191637,0.8115576,1.2786826,0.0,0.029635169,0.96333677,0.07447306,0.5561758,0.41099212,0.22329101,1.2369183,0.7149793,0.0,0.34355354,1.4002213,0.0,1.1959013,0.0,0.87181985,0.25382325,0.2262432,0.0,0.21431307,0.11323295,1.3394098,0.0,0.0,0.9692137,0.0
0.19805196,1.1818112,0.39427134,0.72357804,0.6391068,0.10255265,0.016558483,0.055476457,1.0689555,0.0,1.1593791,0.35230157,0.0,0.7358481,0.0,1.0675234,0.2830676,0.31494159,0.68150204,0.7729839,1.4966315,0.5687445,0.24030167,0.35504228,0.9241949,0.7798114,0.56052005,0.0,0.8034028,0.5397438,0.23697355,0.10357612,1.0295455,1.3516572,0.0,0.1597338,0.8110873,1.2070338,0.0,0.0,0.99006903,0.15581647,0.5336287,0.47953415,0.26711902,1.2064136,0.705984,0.0,0.3376572,1.3707011,0.004621148,1.2015706,0.0,0.87487656,0.20141056,0.22779655,0.0050548567,0.25351116,0.135195,1.3564441,0.0,0.0,1.0203768,0.0
0.25378963,0.97420704,0.75335485,0.5906329,0.6726007,0.09460345,0.0,0.583092,0.95271707,0.0,1.3411508,0.45881256,0.04927389,0.35361618,0.0,0.7465771,0.27186212,0.6340095,1.1030111,1.0523813,1.5111107,0.1737637,0.06547504,0.29728872,1.0097286,0.9828774,0.6399722,0.0,0.63427025,0.28198296,0.27173874,0.18853423,0.950861,1.3088007,0.0,0.5535544,0.7086782,1.0544972,0.0,0.0,0.95656824,0.41835344,0.5154631,0.314001,0.46627802,1.2925097,0.660571,0.0,0.0,1.3271412,0.0,1.0414964,0.0014830772,0.97312814,0.50187975,0.31207708,0.0,0.30452567,0.35911927,0.9417636,0.0,0.036122635,0.54099786,0.0
