latent_motherboard_df_0,latent_motherboard_df_1,latent_motherboard_df_2,latent_motherboard_df_3,latent_motherboard_df_4,latent_motherboard_df_5,latent_motherboard_df_6,latent_motherboard_df_7,latent_motherboard_df_8,latent_motherboard_df_9,latent_motherboard_df_10,latent_motherboard_df_11,latent_motherboard_df_12,latent_motherboard_df_13,latent_motherboard_df_14,latent_motherboard_df_15,latent_motherboard_df_16,latent_motherboard_df_17,latent_motherboard_df_18,latent_motherboard_df_19,latent_motherboard_df_20,latent_motherboard_df_21,latent_motherboard_df_22,latent_motherboard_df_23,latent_motherboard_df_24,latent_motherboard_df_25,latent_motherboard_df_26,latent_motherboard_df_27,latent_motherboard_df_28,latent_motherboard_df_29,latent_motherboard_df_30,latent_motherboard_df_31,latent_motherboard_df_32,latent_motherboard_df_33,latent_motherboard_df_34,latent_motherboard_df_35,latent_motherboard_df_36,latent_motherboard_df_37,latent_motherboard_df_38,latent_motherboard_df_39,latent_motherboard_df_40,latent_motherboard_df_41,latent_motherboard_df_42,latent_motherboard_df_43,latent_motherboard_df_44,latent_motherboard_df_45,latent_motherboard_df_46,latent_motherboard_df_47,latent_motherboard_df_48,latent_motherboard_df_49,latent_motherboard_df_50,latent_motherboard_df_51,latent_motherboard_df_52,latent_motherboard_df_53,latent_motherboard_df_54,latent_motherboard_df_55,latent_motherboard_df_56,latent_motherboard_df_57,latent_motherboard_df_58,latent_motherboard_df_59,latent_motherboard_df_60,latent_motherboard_df_61,latent_motherboard_df_62,latent_motherboard_df_63
0.0,0.90433246,0.0,1.3699042,1.1495525,0.114620045,0.81684947,0.77091235,0.41738668,0.0,1.7317013,0.79746276,0.0,1.5759637,0.2577999,0.62539047,0.7601361,0.5740926,0.48253503,0.260841,0.3368647,0.7648991,0.8134355,0.35673523,0.0,1.4066583,0.96266085,0.0,0.0,0.2521972,0.6224798,0.81774795,0.5210622,1.0696579,1.41423,0.0,0.6001908,0.0,0.57315105,0.0,0.0,0.0,1.0577183,0.34207487,0.5380525,1.1079465,0.0,0.28510687,0.82424515,0.4546314,0.53517365,0.4070477,0.0,0.10301362,0.50936514,0.5865731,0.44246665,0.0,0.0,0.0,1.2935724,0.0,1.1062112,0.0
1.381785,0.7718363,0.46271583,1.0624583,1.6439673,0.20360468,0.5717471,0.7203716,0.48543856,0.0,0.7427679,0.90568525,0.09383463,1.5354068,0.53077745,0.0,1.3996077,0.41972697,0.2596437,0.1727607,0.0,0.49718478,0.0,0.0121054575,0.0,0.0,0.26275524,0.083981395,0.0,2.0540931,0.8368995,0.8951463,1.5512227,0.41879106,1.7981614,1.2247661,1.5084132,0.0,0.13422598,0.0,0.0,0.0,1.7765102,0.21726717,0.6498307,1.3948122,0.10757272,0.67858714,0.0,0.082362354,0.38496545,0.30857825,0.074425794,0.14817871,0.0,0.0,0.0,0.0,0.0,0.0,0.8702482,0.0,1.875862,0.3839177
0.48855618,0.9472288,0.25871137,1.0725598,0.786705,0.0,0.5928556,1.0758979,0.5010294,0.23791309,1.1946272,1.502097,0.5912788,1.569068,0.3486991,0.9870869,0.7447637,0.27468514,0.0,0.72045594,0.2517362,0.14438556,0.10562949,0.0,0.0,1.2825187,0.532329,0.0,0.34212327,1.5650655,0.024324056,0.95764256,0.1613731,0.98025584,1.2896179,0.19999358,0.7922527,0.0,0.7350311,0.35078505,0.0,0.0,0.72193027,0.7254285,1.1345799,1.2601625,0.77543724,0.0,0.4050823,0.38973776,0.61185956,0.0,0.47370633,0.76129436,0.0,0.0,0.103814356,0.0,0.7676555,0.0,0.5846599,0.0,1.0815152,0.0
0.48855618,0.9472288,0.25871137,1.0725598,0.786705,0.0,0.5928556,1.0758979,0.5010294,0.23791309,1.1946272,1.502097,0.5912788,1.569068,0.3486991,0.9870869,0.7447637,0.27468514,0.0,0.72045594,0.2517362,0.14438556,0.10562949,0.0,0.0,1.2825187,0.532329,0.0,0.34212327,1.5650655,0.024324056,0.95764256,0.1613731,0.98025584,1.2896179,0.19999358,0.7922527,0.0,0.7350311,0.35078505,0.0,0.0,0.72193027,0.7254285,1.1345799,1.2601625,0.77543724,0.0,0.4050823,0.38973776,0.61185956,0.0,0.47370633,0.76129436,0.0,0.0,0.103814356,0.0,0.7676555,0.0,0.5846599,0.0,1.0815152,0.0
0.4863516,0.98810315,0.3310641,1.0401536,0.81289864,0.0024832617,0.6241172,1.093995,0.52077824,0.20072173,1.1221728,1.5523349,0.6284715,1.5685178,0.39110148,0.9807974,0.71505445,0.18542686,0.0,0.8137756,0.24900474,0.1449167,0.20562753,0.0,0.0,1.2083957,0.51378167,0.016308762,0.44071257,1.6635236,0.0,0.8717772,0.12025182,1.1073986,1.1936361,0.22332653,0.8055789,0.0,0.64207643,0.3045571,0.0,0.0,0.7145834,0.65915966,1.0442796,1.3104683,0.8230337,0.0,0.45773456,0.39107606,0.5706921,0.0,0.50560266,0.72952497,0.029458638,0.0,0.14178273,0.0,0.89135575,0.0,0.6270283,0.0,1.1532036,0.0
0.0,0.72580343,0.44515052,0.1944782,0.33736408,0.0,0.88045084,0.36260843,0.22031558,0.0,0.33678588,1.0750933,0.71562773,0.42720306,0.73858404,0.8261247,0.5508815,0.0,0.0,0.93467844,0.86076754,0.42983004,1.330901,0.109019466,0.44912368,1.2262787,0.6172827,0.8464056,0.6080893,0.595458,0.27127856,1.4137738,0.58191776,0.51961654,1.2198242,0.68550104,0.9164412,0.0,1.3315616,0.2937602,0.0,0.0,0.63854206,0.6616387,0.53677046,0.576686,0.2400786,0.01304339,0.0,0.65683395,0.6545589,0.47976643,0.21918313,0.15685661,0.2952304,0.32540455,0.28776106,0.0,0.53528064,0.0,0.59509635,0.0,0.5521138,0.43379354
0.091839075,0.55098355,0.2893419,0.0,0.20685047,0.0,1.5889344,0.0,0.15144302,0.0,1.2274572,0.14747575,1.2418474,0.050952747,1.4338636,0.76348823,0.76735616,0.029708631,0.69361454,0.86479604,0.43987995,0.7102931,1.9062331,0.0,0.87681234,0.80170834,0.5348721,0.9454778,0.40108338,0.13731584,0.48834324,1.5254853,0.6140146,0.0,0.6146853,0.51830894,0.2566089,0.0,1.2399907,0.51778656,0.0,0.0,0.6788944,1.0380886,1.6082997,0.39973807,0.14563288,0.6675385,0.4531124,0.79340297,0.9647212,1.3036209,0.0,0.7789204,0.28508818,0.29123273,0.0,0.0,0.0,0.0,0.7306641,0.0,1.1998473,0.39687937
0.091034055,0.5659089,0.31576163,0.0,0.2164151,0.0,1.6003497,0.0,0.15865433,0.0,1.2010006,0.16582012,1.2554283,0.05075188,1.449347,0.7611916,0.75650775,0.0,0.7173158,0.89887184,0.43888253,0.71048707,1.9427475,0.0,0.8903539,0.77464217,0.5280995,0.9631934,0.4370834,0.17326793,0.4742827,1.4941313,0.59899914,0.0,0.57963735,0.526829,0.26147497,0.0,1.2060483,0.50090635,0.0,0.0,0.6762116,1.0138905,1.5753264,0.41810733,0.16301273,0.6807791,0.47233847,0.7938917,0.9496888,1.3044246,0.0,0.7673198,0.314726,0.32488352,0.0,0.0,0.0,0.0,0.74613494,0.0,1.2260245,0.41159546
0.76271814,0.88599247,0.25032172,0.022314426,0.32635206,0.0,1.4172958,0.4921325,0.8331983,0.007047849,0.41693595,0.61889887,1.0566008,0.6296802,0.8592932,0.8678585,0.567095,0.29394153,0.086065605,1.5852656,1.046385,0.79054564,1.2435149,0.0,0.7678462,1.0357034,0.12539628,1.1609426,1.1378243,1.224121,0.5492972,1.7174263,0.38992703,0.0,1.3530425,1.3967156,0.5125205,0.0,1.0968988,0.67969155,0.0,0.0,1.2961919,0.21093611,1.1622691,0.34919512,0.36449134,0.16365883,0.0,0.4088628,0.80319834,0.5246544,0.41731337,0.3951422,0.12733209,0.3666577,0.107468694,0.0,0.43521687,0.0,0.0,0.0,1.3727657,0.4005978
0.7623841,0.89218557,0.26128426,0.017404374,0.3303208,0.0,1.4220324,0.49487448,0.8361906,0.0014127959,0.40595803,0.6265107,1.0622361,0.6295968,0.86571777,0.8669056,0.5625936,0.28041753,0.09590013,1.599405,1.0459712,0.7906261,1.2586662,0.0,0.77346504,1.0244726,0.12258608,1.1682934,1.152762,1.2390388,0.543463,1.7044164,0.3836965,0.0077764764,1.3384998,1.4002509,0.5145396,0.0,1.0828148,0.6726873,0.0,0.0,1.2950788,0.20089535,1.1485872,0.3568172,0.3717029,0.16915289,0.0,0.40906557,0.79696083,0.5249879,0.4221461,0.39032865,0.13962996,0.3806207,0.1132215,0.0,0.45395932,0.0,0.0,0.0,1.3836275,0.40670407
