Name,GPU_Brand,GPU_Chipset,Model,Memory_Size,Memory_Type,Base_Clock,Boost_Clock,TDP,Interface,Length,Cooling_Type,Power_Connectors,SLI_Support,CrossFire_Support,DisplayPort,HDMI,G-SYNC_Support,FreeSync_Support,Expansion_Slots,Seller_Product_URL,Price
Acer Nitro OC Arc B58036th / 101,Intel,Arc B580,DP.Z4BWW.P01AN-B580-OCA,12.0,GDDR6,2670.0,2740.0,190.0,PCIe x16,268.0,2 Fans,18.0,No,No,3.0,1.0,No,No,2.0,https://www.bhphotovideo.com/c/product/1874395-REG/acer_dp_z4bww_p01_nitro_oc_arc_b580.html/BI/21936/KBID/28297,249.99
Acer Nitro OC Radeon RX 7700 XT28th / 101,AMD,Radeon RX 7700 XT,DP.Z39WW.P01AN-RX7700XT-OCB,12.0,GDDR6,1700.0,2590.0,245.0,PCIe x16,279.0,2 Fans,28.0,No,No,3.0,1.0,No,Yes,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814553006%26ignorebbr%3d1,359.99
Acer Predator BiFrost Radeon RX 7800 XT OC21st / 101,AMD,Radeon RX 7800 XT,DP.Z3AWW.P01PB-RX7800XT-OC,16.0,GDDR6,1295.0,2565.0,263.0,PCIe x16,282.0,3 Fans,28.0,No,No,3.0,1.0,No,Yes,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814553008%26ignorebbr%3d1,559.99
ASRock Arc B580 Challenger 12GB OC36th / 101,Intel,Arc B580,B580 CL 12GO90-GA5LZZ-00UANF,12.0,GDDR6,2670.0,2740.0,190.0,PCIe x16,249.0,2 Fans,18.0,No,No,3.0,1.0,No,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814930131%26ignorebbr%3d1,259.99
ASRock Arc B580 Challenger 12GB OC36th / 101,Intel,Arc B580,B580 CL 12GO90-GA5LZZ-00UANF,12.0,GDDR6,2670.0,2740.0,190.0,PCIe x16,249.0,2 Fans,18.0,No,No,3.0,1.0,No,No,2.0,https://www.amazon.com/dp/B0DNV4NWF7?tag=pangoly0b-20,269.99
ASRock Arc B580 Steel Legend OC36th / 101,Intel,Arc B580,B580 SL 12GO90-GA5CZZ-00UANF,12.0,GDDR6,2670.0,2800.0,190.0,PCIe x16,298.0,3 Fans,28.0,No,No,3.0,1.0,No,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814930132%26ignorebbr%3d1,269.99
ASRock Radeon RX 7600 Challenger 8GB OC46th / 101,AMD,Radeon RX 7600,RX7600 CL 8GORX 7600 CL 8GO,8.0,GDDR6,1720.0,2695.0,165.0,PCIe x16,269.0,2 Fans,18.0,No,No,1.0,1.0,No,Yes,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814930093%26ignorebbr%3d1,249.99
ASRock Radeon RX 7600 Phantom Gaming 8GB OC46th / 101,AMD,Radeon RX 7600,RX7600 PG 8GORX 7600 PG 8GO,8.0,GDDR6,1720.0,2755.0,165.0,PCIe x16,305.0,3 Fans,18.0,No,No,3.0,1.0,No,Yes,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814930091%26ignorebbr%3d1,289.99
ASRock Radeon RX 7600 Steel Legend 8GB OC46th / 101,AMD,Radeon RX 7600,RX7600 SL 8GO,8.0,GDDR6,1720.0,2725.0,165.0,PCIe x16,303.0,3 Fans,18.0,No,No,3.0,1.0,No,Yes,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814930092%26ignorebbr%3d1,289.99
ASRock Radeon RX 7600 XT Steel Legend 16GB OC41st / 101,AMD,Radeon RX 7600 XT,RX7600XT SL 16GO,16.0,GDDR6,1720.0,2810.0,190.0,PCIe x16,304.0,3 Fans,28.0,No,No,3.0,1.0,No,Yes,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814930120%26ignorebbr%3d1,349.99
