Name,Brand,Model,Cores,Threads,Base Clock,Turbo Clock,Socket,TDP,L3 Cache,Process,Integrated Graphics,Cooler Included,Seller,Seller_Product_URL,Availability,Price
AMD A10-9700229th / 575,AMD,AD9700AGABBOX,4.0,4.0,3500.0,3800.0,AM4,65.0,2.0,28 nm,Radeon R7 (on-die),Yes,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIAD6HKGE8252%26ignorebbr%3d1,Out of Stock,339.95
AMD A10-9700E,AMD,AD9700AHABBOX,4.0,4.0,3000.0,3500.0,AM4,35.0,2.0,28 nm,Radeon R7 (on-die),Yes,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIATJ1HWY4161%26ignorebbr%3d1,Out of Stock,88.69
AMD A12-9800227th / 575,AMD,AD9800AUABBOX,4.0,4.0,3800.0,4200.0,AM4,65.0,2.0,28 nm,Radeon R7 (on-die),Yes,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIAGKCFD31595%26ignorebbr%3d1,Out of Stock,49.99
AMD A6-9500,AMD,AD9500AGABBOX,2.0,2.0,3500.0,3800.0,AM4,65.0,1.0,28 nm,Radeon R5 (on die),Yes,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIAGKCK733519%26ignorebbr%3d1,Out of Stock,69.99
AMD A6-9500E,AMD,AD9500AHABBOX,2.0,2.0,3000.0,3400.0,AM4,35.0,1.0,28 nm,Radeon R5 (on die),Yes,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIATJ1HWY4184%26ignorebbr%3d1,Out of Stock,57.06
AMD A8-9600,AMD,AD9600AGABBOX,4.0,4.0,3100.0,3400.0,AM4,65.0,2.0,28 nm,Radeon R7 (on-die),Yes,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIBKYEK6R4859%26ignorebbr%3d1,Out of Stock,180.2
AMD Athlon X4 845,AMD,AD845XACKASBX,4.0,4.0,3.8,3800.0,FM2+,65.0,2.0,28 nm,,Yes,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIA4RE8011509%26ignorebbr%3d1,Out of Stock,35.14
AMD Athlon X4 860K,AMD,AD860KXBJASBX,4.0,4.0,4.0,4000.0,FM2+,95.0,4.0,28 nm,,Yes,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIA4RE7XC5743%26ignorebbr%3d1,In Stock,79.79
AMD Athlon X4 880k,AMD,AD880KXBJCSBX,4.0,4.0,4.2,4200.0,FM2+,95.0,4.0,28 nm,,Yes,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIATJ1HWX4995%26ignorebbr%3d1,Out of Stock,94.21
AMD Athlon X4 950,AMD,AD950XAGABBOX,4.0,4.0,3500.0,3800.0,AM4,65.0,2.0,28 nm,,Yes,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIB792J9Z1353%26ignorebbr%3d1,Out of Stock,28.95
AMD EPYC 4244P,AMD,100-100001480WOF,6.0,12.0,3.8,5100.0,AM5,65.0,32.0,5 nm,Radeon,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113837%26ignorebbr%3d1,Out of Stock,249.99
AMD EPYC 4244P,AMD,100-100001480WOF,6.0,12.0,3.8,5100.0,AM5,65.0,32.0,5 nm,Radeon,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIA7ABKEJ8078%26ignorebbr%3d1,Out of Stock,260.86
AMD EPYC 4245P,AMD,100-100001555WOF,6.0,12.0,3900.0,5400.0,AM5,65.0,32.0,5 nm,Radeon,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113892%26ignorebbr%3d1,Out of Stock,239.99
AMD EPYC 4245P,AMD,100-100001555WOF,6.0,12.0,3900.0,5400.0,AM5,65.0,32.0,5 nm,Radeon,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIAN0MKN09454%26ignorebbr%3d1,Out of Stock,265.99
AMD EPYC 4344P,AMD,100-100001479WOF,8.0,16.0,3.8,5300.0,AM5,65.0,32.0,5 nm,Radeon,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113835%26ignorebbr%3d1,In Stock,329.99
AMD EPYC 4344P,AMD,100-100001479WOF,8.0,16.0,3.8,5300.0,AM5,65.0,32.0,5 nm,Radeon,No,BestBuy,https://bestbuy.7tiv.net/c/2632153/2711001/10014?prodsku=11061588&u=https%3A%2F%2Fwww.bestbuy.com%2Fproduct%2Famd-epyc-4344p-8-core-processor-65w-5-3-ghz-max-boost%2FJXKQHH585S&intsrc=CATF_21610,In Stock,349.99
AMD EPYC 4344P,AMD,100-100001479WOF,8.0,16.0,3.8,5300.0,AM5,65.0,32.0,5 nm,Radeon,No,Amazon.com,https://www.amazon.com/dp/B0D7XGKGB4?tag=pangoly0b-20,In Stock,356.49
