Name,Brand,Series,Model,Cores,Threads,Base Clock,Turbo Clock,Socket,TDP,L3 Cache,Process,Integrated Graphics,Cooler Included,Release Date,Price,Rating,Reviews,Availability,List_Price,URL,Product_ID,Page
AMD EPYC 4465P,AMD,,100-100001558WOF,12,24,3.40 GHz,5400 MHz,AM5,65 W,64 MB,5 nm,Radeon,No,"August 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,1,In Stock,$480,https://pangoly.com/en/product/amd-epyc-4465p,2f3eee8f-d0be-496b-c6d0-08de00318317,1
AMD EPYC 4585PX,AMD,,100-100001561WOF,16,32,4.30 GHz,5700 MHz,AM5,170 W,128 MB,5 nm,Radeon,No,"August 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,3,In Stock,$720,https://pangoly.com/en/product/amd-epyc-4585px,317a2057-4cc1-4083-c6ce-08de00318317,1
AMD EPYC 4545P,AMD,,100-100001764WOF,16,32,3 GHz,5400 MHz,AM5,65 W,64 MB,5 nm,Radeon,No,"August 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,Out of Stock,$560,https://pangoly.com/en/product/amd-epyc-4545p,54c252af-196f-4a0e-c6cf-08de00318317,1
AMD Ryzen Threadripper 9960X,AMD,,100-100001595WOF,24,48,4200 MHz,5400 MHz,sTR5,350 W,128 MB,4 nm,None,No,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$1463,https://pangoly.com/en/product/amd-ryzen-threadripper-9960x,14d2c393-143a-4fd2-ac11-08ddcaa420da,1
AMD Ryzen Threadripper 9970X,AMD,,100-100001594WOF,32,64,4000 MHz,5400 MHz,sTR5,350 W,128 MB,4 nm,None,No,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,1,In Stock,$2457,https://pangoly.com/en/product/amd-ryzen-threadripper-9970x,f70595de-15a1-44e7-ac12-08ddcaa420da,1
AMD Ryzen Threadripper 9980X,AMD,,100-100001593WOF,64,128,3200 MHz,5400 MHz,sTR5,350 W,256 MB,4 nm,None,No,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$4915,https://pangoly.com/en/product/amd-ryzen-threadripper-9980x,51bea6ae-9c34-4130-ac13-08ddcaa420da,1
AMD Ryzen 9 9900X3D23rd / 575,AMD,Ryzen 9,100-1000001368WOF100-100001368WOF,12,24,4400 MHz,5500 MHz,AM5,120 W,128 MB,4 nm,Radeon,No,"March 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,2,In Stock,$550,https://pangoly.com/en/product/amd-ryzen-9-9900x3d,daa8433e-f36b-1410-8bf2-003fe7c988bc,1
AMD Ryzen 9 9950X3D6th / 575,AMD,Ryzen 9,100-100000719WOF,16,32,4300 MHz,5700 MHz,AM5,170 W,128 MB,4 nm,Radeon,No,"March 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,8,In Stock,$650,https://pangoly.com/en/product/amd-ryzen-9-9950x3d,c3a8433e-f36b-1410-8bf2-003fe7c988bc,1
AMD Ryzen 5 7400F,AMD,Ryzen 5,100-00001845100-000001845,6,12,3700 MHz,4700 MHz,AM5,65 W,32 MB,5 nm,None,No,"February 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,Out of Stock,$150,https://pangoly.com/en/product/amd-ryzen-5-7400f,589f1ae9-00a0-4bf8-864f-125f3d9852ab,1
Intel Core Ultra 5 225F29th / 575,Intel,,BX80768225F,10,10,3300 MHz,4900 MHz,LGA1851,65 W,20 MB,3 nm,None,Yes,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$168,https://pangoly.com/en/product/intel-core-ultra-5-225f,2ca4433e-f36b-1410-8bf2-003fe7c988bc,1
Intel Core Ultra 5 22529th / 575,Intel,,BX80768225,10,10,3300 MHz,4900 MHz,LGA1851,65 W,20 MB,3 nm,Intel Xe,Yes,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$246,https://pangoly.com/en/product/intel-core-ultra-5-225,1fa4433e-f36b-1410-8bf2-003fe7c988bc,1
Intel Core Ultra 7 265F16th / 575,Intel,,BX80768265F,20,20,2400 MHz,5300 MHz,LGA1851,65 W,30 MB,3 nm,None,Yes,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$335,https://pangoly.com/en/product/intel-core-ultra-7-265f,45a4433e-f36b-1410-8bf2-003fe7c988bc,1
Intel Core Ultra 7 26516th / 575,Intel,,BX80768265,20,20,2400 MHz,5300 MHz,LGA1851,65 W,30 MB,3 nm,Intel Xe,Yes,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$360,https://pangoly.com/en/product/intel-core-ultra-7-265,34a4433e-f36b-1410-8bf2-003fe7c988bc,2
Intel Core Ultra 9 28512th / 575,Intel,,BX80768285,24,24,2500 MHz,5600 MHz,LGA1851,65 W,36 MB,3 nm,Intel Xe,Yes,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$579,https://pangoly.com/en/product/intel-core-ultra-9-285,38a4433e-f36b-1410-8bf2-003fe7c988bc,2
Intel Core Ultra 5 23528th / 575,Intel,,BX80768235,14,14,3400 MHz,5000 MHz,LGA1851,65 W,24 MB,3 nm,Intel Xe,Yes,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,Out of Stock,$290,https://pangoly.com/en/product/intel-core-ultra-5-235,14a4433e-f36b-1410-8bf2-003fe7c988bc,2
AMD Ryzen 7 9800X3D27th / 575,AMD,Ryzen 7,100-1000001084WOF100-100001084WOF,8,16,5.2 GHz,5200 MHz,AM5,120 W,96 MB,4 nm,Radeon,No,"November 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$460,https://pangoly.com/en/product/amd-ryzen-7-9800x3d,158b433e-f36b-1410-8be8-003fe7c988bc,2
Intel Core Ultra 5 245KF14th / 575,Intel,,BX80768245KF,14,14,4200 MHz,5200 MHz,TYPE,125 W,24 MB,3 nm,None,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$220,https://pangoly.com/en/product/intel-core-ultra-5-245kf,396f433e-f36b-1410-8be5-003fe7c988bc,2
Intel Core Ultra 5 245K14th / 575,Intel,,BX80768245K,14,14,4200 MHz,5200 MHz,TYPE,125 W,24 MB,3 nm,Intel Xe,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$229,https://pangoly.com/en/product/intel-core-ultra-5-245k,316f433e-f36b-1410-8be5-003fe7c988bc,2
Intel Core Ultra 7 265KF2nd / 575,Intel,,BX80768265KF,20,20,3900 MHz,5500 MHz,TYPE,125 W,30 MB,3 nm,None,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$283,https://pangoly.com/en/product/intel-core-ultra-7-265kf,416f433e-f36b-1410-8be5-003fe7c988bc,2
Intel Core Ultra 7 265K2nd / 575,Intel,,BX80768265K,20,20,3900 MHz,5500 MHz,TYPE,125 W,30 MB,3 nm,Intel Xe,No,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$300,https://pangoly.com/en/product/intel-core-ultra-7-265k,276f433e-f36b-1410-8be5-003fe7c988bc,2
