Name,Brand,GPU Brand,GPU Series,GPU Chipset,Model,Memory Size,Memory Type,Base Clock,Boost Clock,TDP,Interface,Length,Cooling Type,Power Connectors,SLI Support,CrossFire Support,DisplayPort,HDMI,G-SYNC Support,FreeSync Support,Expansion Slots,Release Date,Price,Rating,Reviews,Availability,List_Price,URL,Product_ID,Page
PNY GeForce RTX 5050 Dual Fan53rd / 101,Pny,NVIDIA,RTX 5050,GeForce RTX 5050,VCG50508DFXPB1,8 GB,GDDR6,2317 MHz,2572 MHz,130 W,PCIe x16,200 mm,2 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$250,https://pangoly.com/en/product/pny-geforce-rtx-5050-dual-fan,20b6433e-f36b-1410-8c08-003fe7c988bc,1
Zotac GeForce RTX 5050 Solo53rd / 101,Zotac,NVIDIA,RTX 5050,GeForce RTX 5050,ZT-B50500G-10L,8 GB,GDDR6,2317 MHz,2572 MHz,130 W,PCIe x16,164 mm,1 Fan,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$250,https://pangoly.com/en/product/zotac-geforce-rtx-5050-solo,5fb5433e-f36b-1410-8c08-003fe7c988bc,1
Zotac GeForce RTX 5050 Twin Edge OC53rd / 101,Zotac,NVIDIA,RTX 5050,GeForce RTX 5050,ZT-B50500H-10M,8 GB,GDDR6,2317 MHz,2602 MHz,130 W,PCIe x16,220 mm,2 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$250,https://pangoly.com/en/product/zotac-geforce-rtx-5050-twin-edge-oc,77b5433e-f36b-1410-8c08-003fe7c988bc,1
Gigabyte GeForce RTX 5050 OC Low Profile53rd / 101,Gigabyte,NVIDIA,RTX 5050,GeForce RTX 5050,GV-N5050OC-8GL,8 GB,GDDR6,2317 MHz,2587 MHz,130 W,PCIe x16,182 mm,2 Fans,1 PCIe 8-pin,No,No,2,2,Yes,No,2,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$250,https://pangoly.com/en/product/gigabyte-geforce-rtx-5050-oc-low-profile,6cb5433e-f36b-1410-8c08-003fe7c988bc,1
Gigabyte GeForce RTX 5050 WINDFORCE OC53rd / 101,Gigabyte,NVIDIA,RTX 5050,GeForce RTX 5050,GV-N5050WF2OC-8GD,8 GB,GDDR6,2317 MHz,2587 MHz,130 W,PCIe x16,199 mm,3 Fans,1 PCIe 8-pin,No,No,2,2,Yes,No,2,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$250,https://pangoly.com/en/product/gigabyte-geforce-rtx-5050-windforce-oc,58b5433e-f36b-1410-8c08-003fe7c988bc,1
ASUS Dual GeForce RTX 505053rd / 101,Asus,NVIDIA,RTX 5050,GeForce RTX 5050,dual-rtx5050-8g,8 GB,GDDR6,2317 MHz,2602 MHz,130 W,PCIe x16,203 mm,2 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$250,https://pangoly.com/en/product/asus-dual-geforce-rtx-5050,37b5433e-f36b-1410-8c08-003fe7c988bc,1
MSI GeForce RTX 5050 8G SHADOW 2X OC53rd / 101,Msi,NVIDIA,RTX 5050,GeForce RTX 5050,RTX 5050 8G SHADOW 2X OC,8 GB,GDDR6,2317 MHz,2617 MHz,130 W,PCIe x16,197 mm,2 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$250,https://pangoly.com/en/product/msi-geforce-rtx-5050-8g-shadow-2x-oc,7fb5433e-f36b-1410-8c08-003fe7c988bc,1
ASUS Dual GeForce RTX 5050 OC Edition53rd / 101,Asus,NVIDIA,RTX 5050,GeForce RTX 5050,dual-rtx5050-o8g,8 GB,GDDR6,2317 MHz,2677 MHz,130 W,PCIe x16,203 mm,2 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$250,https://pangoly.com/en/product/asus-dual-geforce-rtx-5050-oc-edition,44b5433e-f36b-1410-8c08-003fe7c988bc,1
Gigabyte GeForce RTX 5050 GAMING OC53rd / 101,Gigabyte,NVIDIA,RTX 5050,GeForce RTX 5050,GV-N5050GAMING OC-8GD,8 GB,GDDR6,2317 MHz,2632 MHz,130 W,PCIe x16,280 mm,3 Fans,1 PCIe 8-pin,No,No,2,2,Yes,No,2,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$270,https://pangoly.com/en/product/gigabyte-geforce-rtx-5050-gaming-oc,47b5433e-f36b-1410-8c08-003fe7c988bc,1
MSI GeForce RTX 5050 8G GAMING OC53rd / 101,Msi,NVIDIA,RTX 5050,GeForce RTX 5050,RTX 5050 8G GAMING OC,8 GB,GDDR6,2317 MHz,2647 MHz,130 W,PCIe x16,202 mm,2 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$270,https://pangoly.com/en/product/msi-geforce-rtx-5050-8g-gaming-oc,8cb5433e-f36b-1410-8c08-003fe7c988bc,1
