Name,Brand,Model,Socket,Chipset,Form Factor,Memory Type,RAM Slots,Max RAM,ECC Support,PCIe x16 Slots,PCIe x4 Slots,PCIe x1 Slots,M.2 Ports,M.2 Support,SATA Ports,SATA Express Ports,Audio Chipset,Audio Channels,LAN Chipset,Wireless LAN,Wi-Fi Generation,USB 2.0 Headers,USB 3.2 Gen1 Headers,USB 3.2 Gen2 Headers,USB 3.2 Gen2x2 Headers,SLI Support,CrossFire Support,RAID Support,Back Connect,Release Date,Price,Rating,Reviews,Availability,List_Price,URL,Product_ID,Page
MSI MPG B850I Edge TI WiFi,Msi,MPG B850I EDGE TI WIFI7E79-001R,AM5,B850,Atx,,2,128 GB,No,1,0,0,2,2280 - M Key2280 - M Key,2,0,,7.1-Channel USB High-Performance AudioSupports up to 32-Bit/384 kHz playback on front panelSupports S/PDIF output,,Yes,7,0,1,0,,No,No,Yes,No,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,52,In Stock,$290,https://pangoly.com/en/product/msi-mpg-b850i-edge-ti-wifi,a84b4a62-ed11-4e0b-ad14-08ddb48bbd3f,1
MSI PRO B840M-B,Msi,PRO B840M-B7E76-002R,AM5,Realtek 8125 2.5G LAN,Atx,,2,128 GB,No,1,0,1,2,2260 / 2280 - M Key2260 / 2280 - M Key,4,0,,,,No,,2,1,0,,No,No,Yes,No,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$120,https://pangoly.com/en/product/msi-pro-b840m-b,a3b56867-9c03-44b8-ed4b-08ddf2199c16,1
MSI PRO B840M-P WIFI6E,Msi,,AM5,,Atx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$191,https://pangoly.com/en/product/msi-pro-b840m-p-wifi6e,62056ff7-8376-4f90-ed4c-08ddf2199c16,1
MSI PRO B850M-A WiFi,Msi,PRO B850M-A WIFI,AM5,B850,Atx,,4,128 GB,No,2,0,1,2,2260 / 2280 - M Key2260 / 2280 - M Key,4,0,,8-Channel (7.1) HD Audio with Audio Boost,,Yes,7,0,1,0,,No,No,No,No,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,1,In Stock,$170,https://pangoly.com/en/product/msi-pro-b850m-a-wifi,8a5d1122-cfb4-4d6b-ad16-08ddb48bbd3f,1
MSI PRO B850M-P WiFi,Msi,PRO B850M-P WIFI,AM5,B850,Atx,,4,256 GB,No,4,0,0,3,2260 / 2280 - M Key2260 / 2280 - M Key2280 - M Key,4,0,,,,Yes,7,2,2,0,,No,No,Yes,No,"May 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$174,https://pangoly.com/en/product/msi-pro-b850m-p-wifi,fb999770-2043-492e-ad15-08ddb48bbd3f,1
ASUS TUF GAMING B850-E WIFI,Asus,,AM5,B850,Atx,,,,,,,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$180,https://pangoly.com/en/product/asus-tuf-gaming-b850-e-wifi,2ea0d7e5-befb-4cdc-ad17-08ddb48bbd3f,1
NZXT N9 Z890,,N9-Z89XT-B1,LGA1851,Intel Z890,Atx,,4,192 GB,No,2,0,0,6,2280 - M Key2280 - M Key2280 - M Key2280 - M Key2280 - M Key2230 - E Key,4,0,,,,Yes,7,2,2,1,,No,No,No,No,"March 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$230,https://pangoly.com/en/product/nzxt-n9-z890,3592e666-50ee-4713-c4f7-08dd6ba34a3d,1
NZXT N9 Z890 White,,N9-Z89XT-W1,LGA1851,Intel Z890,Atx,,4,192 GB,No,2,0,0,6,2280 - M Key2280 - M Key2280 - M Key2280 - M Key2280 - M Key2230 - E Key,4,0,,,,Yes,7,2,2,1,,No,No,No,No,"March 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$230,https://pangoly.com/en/product/nzxt-n9-z890-white,e60b9b9f-45ac-426d-c4f8-08dd6ba34a3d,1
NZXT N9 X870E White,,N9-X87XT-W1,AM5,AMD X870E,Atx,,4,192 GB,No,2,0,0,5,2280 - M Key2280 - M Key2280 - M Key2280 - M Key2230 - E Key,4,0,,,,Yes,7,2,2,1,,No,No,Yes,No,"March 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$330,https://pangoly.com/en/product/nzxt-n9-x870e-white,4045bf20-3df0-4d72-c4f2-08dd6ba34a3d,1
NZXT N9 X870E,,N9-X87XT-B1,AM5,AMD X870E,Atx,,4,192 GB,No,2,0,0,5,2280 - M Key2280 - M Key2280 - M Key2280 - M Key2230 - E Key,4,0,,,,Yes,7,2,2,1,,No,No,Yes,No,"March 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$330,https://pangoly.com/en/product/nzxt-n9-x870e,dda004e6-8e63-4ea6-c4f3-08dd6ba34a3d,1
