Name,Brand,Model,Type,Size,Kit Configuration,Speed,CAS Latency,Timing,First Word Latency,Voltage,Heat Spreader,ECC Support,Color,Release Date,Price,Rating,Reviews,Availability,List_Price,URL,Product_ID,Page
CORSAIR Vengeance 128GB (2x64GB) DDR5 6400MHz,Corsair,CMK128GX5M2B6400C42,DDR5,128GB,2x64gb,DDR6400 MHz,42,42-52-52-104,13.12 ns,1.35 V,Yes,No,Black,"May 2025* First availability for purchase, it may not correspond to the actual market launch date.",$446,5/5,0,In Stock,$434,https://pangoly.com/en/product/corsair-vengeance-128gb-2x64gb-ddr5-6400mhz,de441183-fd0b-4393-ac9d-08ddb48bbd3f,1
CORSAIR Vengeance RGB 128GB (2x64GB) DDR5 6400MHz,Corsair,CMH128GX5M2B6400C42,DDR5,128GB,2x64gb,DDR6400 MHz,42,42-52-52-104,13.12 ns,1.35 V,Yes,No,RGB,"May 2025* First availability for purchase, it may not correspond to the actual market launch date.",$434,5/5,0,In Stock,$446,https://pangoly.com/en/product/corsair-vengeance-rgb-128gb-2x64gb-ddr5-6400mhz,935abe3b-be04-4cc4-ac9e-08ddb48bbd3f,1
Kingston Fury Beast 128GB (2x64GB) DDR5 5600,Kingston,KF556C36BBEK2-128,DDR5,128GB,2x64gb,DDR5-5600 MHz,36,36-38-38-76,12.85 ns,1.25 V,Yes,No,Black,"May 2025* First availability for purchase, it may not correspond to the actual market launch date.",$475,5/5,0,In Stock,$465,https://pangoly.com/en/product/kingston-fury-beast-128gb-2x64gb-ddr5-5600,f60fc6a4-6a11-4c69-ac9a-08ddb48bbd3f,1
Kingston Fury Beast RGB 128GB (2x64GB) DDR5 5600,Kingston,KF556C40BBAK2-128,DDR5,128GB,2x64gb,DDR5-5600 MHz,40,,14.28 ns,1.25 V,Yes,No,RGB,"May 2025* First availability for purchase, it may not correspond to the actual market launch date.",$434,5/5,0,In Stock,$630,https://pangoly.com/en/product/kingston-fury-beast-rgb-128gb-2x64gb-ddr5-5600,02a60489-f9b7-4a4e-ac9b-08ddb48bbd3f,1
Kingston Fury Beast 128GB (2x64GB) DDR5 5600 CL40,Kingston,KF556C40BBK2-128,DDR5,128GB,2x64gb,DDR5-5600 MHz,40,40-40-40,14.28 ns,1.25 V,Yes,No,Black,"May 2025* First availability for purchase, it may not correspond to the actual market launch date.",$434,5/5,0,In Stock,$825,https://pangoly.com/en/product/kingston-fury-beast-128gb-2x64gb-ddr5-5600-cl40,da754144-8d79-4c52-ac9c-08ddb48bbd3f,1
Crucial 64GB DDR5 5600MHz,Crucial,,DDR5,64GB,,DDR5600 MHz,,,,,,,,,$96,5/5,64,In Stock,$210,https://pangoly.com/en/product/crucial-64gb-ddr5-5600mhz,45bb4548-b8e7-4753-444f-08dd688b4ef4,1
Crucial Pro 64GB (2x32GB) DDR5 6400MHz,Crucial,,DDR5,64GB,2x32gb,DDR6400 MHz,40,,,,,,,,$240,5/5,42,In Stock,$260,https://pangoly.com/en/product/crucial-pro-64gb-2x32gb-ddr5-6400mhz,bc1e2ea3-81bd-4ed0-c4c4-08dd6ba34a3d,1
Crucial Pro 128GB (2x64GB) DDR5 5600MHz,Crucial,CP2K64G56C46U5,DDR5,128GB,2x64gb,DDR5600 MHz,46,,16.43 ns,1.1 V,Yes,No,Black,"February 2025* First availability for purchase, it may not correspond to the actual market launch date.",$434,5/5,55,In Stock,$336,https://pangoly.com/en/product/crucial-pro-128gb-2x64gb-ddr5-5600mhz,686148ba-3dcf-4eaf-8ade-08dd51ce5c6a,1
Crucial 128GB (2x64GB) DDR5 5600MHz,Crucial,,DDR5,128GB,2x64gb,DDR5600 MHz,,,,,,,,,$336,5/5,63,In Stock,$443,https://pangoly.com/en/product/crucial-128gb-2x64gb-ddr5-5600mhz,71bd782b-7611-493e-8ae3-08dd51ce5c6a,1
PNY XLR8 Gaming Epic-X RGB 32GB (2x16GB) DDR5 6...,,,DDR5,32GB,2x16gb,DDR6000 MHz,36,,,,,,,,$119,5/5,0,Out of Stock,$95,https://pangoly.com/en/product/pny-xlr8-gaming-epic-x-rgb-32gb-2x16gb-ddr5-6000mhz,13b47011-68f3-44ee-c4c3-08dd6ba34a3d,1
